nome_empresa,website,telefone,endereco,rating,reviews,source,segmento,cidade,estado,email,v2_score,predicted_score,enrichment_status,decision_makers_apollo,apollo_emails,decision_makers,decision_makers_emails
DMR INDUSTRIA E COMÉRCIO DE MATERIAIS ODONTOLÓGICOS LTDA - SINGULAR IMPLANTS,www.singularimplants.com.br,+55 (84) 99806-2299,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,comercial@singularimplants.com.br,8.5,8.5,Pending,,,,
BIO ENGENHARIA E INDÚSTRIA DE IMPLANTES ORTOPÉDICOS LTDA,http://bioengenharia.com.br/,+55 (51) 3588-0880,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,contato@bioengenharia.com.br,8.5,8.5,Pending,,,,
ENGIMPLAN ENGENHARIA DE IMPLANTE INDÚSTRIA E COMÉRCIO LTDA,www.engimplan.com.br,+55 (19) 99656-9963,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,software@materialise.be,8.5,8.5,Pending,,,,
BHIO SUPPLY INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA,www.bhiosupply.com.br,+55 (51) 3459-4000,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,contato@bhiosupply.com.br,8.5,8.5,Pending,,,,
DGTECH INDÚSTRIA E COMÉRCIO LTDA - EDLO,www.edlo.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@dgtech.ind.br,8.5,8.5,Pending,,,,
Dentsply Sirona Brasil,www.dentsplysirona.com,+55 (11) 3046-2222,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,atendimento@dentsplysirona.com,8.5,7.0,Pending,,,,
BRAILE BIOMÉDICA INDÚSTRIA E COMÉRCIO REPRESENTAÇÃO LTDA,www.braile.com.br,+55 (17) 2136-7000,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,faleconosco@braile.com.br,8.5,8.5,Pending,,,,
DSP INDUSTRIAL LTDA EPP,www.dspbiomedical.com.br,+55 (41) 9685-6029,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,contato@dspbiomedical.com.br,8.5,8.5,Pending,,,,
GM DOS REIS INDÚSTRIA E COMÉRCIO LTDA,www.gmreis.com.br,+55 (19) 3765-9900,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,gmreis@gmreis.com.br,8.5,8.5,Pending,,,,
GNATUS PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA EPP - Q2 TEC,www.gnatus.com.br,+55 (17) 3321-6999,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,contato@gnatus.com.br,8.5,8.5,Pending,,,,
ALLIAGE S.A INDÚSTRIAS MÉDICO ODONTOLÓGICA,www.alliage.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@alliage-global.com,8.5,8.5,Pending,,,,
ICONACY ORTHOPEDIC IMPLANTS INDÚSTRIA E COMÉRCIO DE PRODUTOS MÉDICO HOSPITALARES LTDA,www.prosintese.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,,8.5,8.5,Pending,,,,
Align Technology Brasil - Invisalign,www.invisalign.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,privacidade@aligntech.com,8.5,7.0,Pending,,,,
ALLIED TITANIUM LTDA - DENTFIX,www.dentfix.com.br,+55 (19) 3584-7272,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,comercial@dentfix.com.br,8.5,8.5,Pending,,,,
Pross Implantes,www.pross.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,,8.5,8.5,Pending,,,,
OCX Implantes,ocximplantes.com.br,+55 (11) 97640-0051,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,São Paulo,SP,ocx.implantes@hotmail.com,8.0,8.0,Pending,,,,
Bone Surgical,bonesurgical.com.br,+55 (11) 94771-6386,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,bonesurgical@bonesurgical.com.br,8.0,8.0,Pending,,,,
CAPELLI & FABRIS INDUSTRIA E COMERCIO DE PRODUTOS MÉDICOS ODONTOLÓGICOS LTDA - HELSE ULTRASONIC,https://www.helse.odo.br/,+55 (16) 3954-1464,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,,8.0,8.0,Pending,,,,
CLOROVALE DIAMANTES INDÚSTRIA E COMÉRCIO LTDA,www.cvdvale.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,comercial@cvdvale.com.br,8.0,8.0,Pending,,,,
Systhex Implantes,www.systhex.com.br,+55 (41) 3339-6905,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,Curitiba,PR,contato@systhex.com.br,8.0,8.0,Pending,,,,
DENTSCARE LTDA - FGM PRODUTOS ODONTOLÓGICOS,www.fgm.ind.br,+55 (47) 3305-7358,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,dpo@fgmdentalgroup.com,8.0,8.0,Pending,,,,
Ortobio,ortobio.ind.br,+55 (44) 3269-5045,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,contato@ortobio.ind.br,8.0,8.0,Pending,,,,
ESSITY SOLUÇÕES MÉDICAS DO BRASIL COMÉRCIO E DISTRIBUIÇÃO LTDA,www.essity.com,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,alexandre.bernardes@essity.com,8.0,8.0,Pending,,,,
NeoOrtho,,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,nfe@neoortho.com.br,8.0,8.0,Pending,,,,
FANEM LTDA,www.fanem.com.br,+55 (11) 2972-5700,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,comercial@fanem.com.br,8.0,8.0,Pending,,,,
DMC IMPORTAÇÃO E EXPORTAÇÃO DE EQUIPAMENTOS LTDA,www.dmcgroup.com.br,+55 (16) 99613-5436,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,dmc@dmcgroup.com.br,8.0,8.0,Pending,,,,
Implacil Osstem,implacil.com.br,+55 (11) 3342-5100,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@implacilosstem.com.br,8.0,8.0,Pending,,,,
DORJA INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA,www.dorja.com.br,+55 (11) 4862-0072,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@dorja.com.br,8.0,8.0,Pending,,,,
3R Indústria e Comércio - Microdont,www.microdont.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,,8.0,8.0,Pending,,,,
HANISCH MEDICAL LTDA,www.plasticoshanisch.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,vendas@hanisch-medical.com.br,8.0,8.0,Pending,,,,
H STRATTNER E CIA LTDA,www.strattner.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,licitacoes@strattner.com.br,8.0,8.0,Pending,,,,
Dérig Implantes,www.derig.com.br,+55 (11) 98232-0041,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,Barueri,SP,vendas@derig.com.br,8.0,8.0,Pending,,,,
FRANCESCHI & COSTA E SILVA LTDA EPP - NACIONAL OSSOS,www.ossos.com.br,+55 (14) 99792-8594,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,johndoe@domain.com,8.0,8.0,Pending,,,,
Kopp Sistemas de Implantes,www.kopp.com.br,+55 (51) 3718-7000,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@koppimplantes.com.br,8.0,8.0,Pending,,,,
3R INDÚSTRIA E COMÉRCIO LTDA,www.microdont.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,vendas@3rindustria.com.br,8.0,8.0,Pending,,,,
ANGELUS INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,www.angelus.ind.br,+55 (43) 2101-3200,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,desenvolvedor03@beatz.com.br,8.0,8.0,Pending,,,,
BAUMER S.A.,www.baumer.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,support@baumer.com.br,8.0,8.0,Pending,,,,
BIODINÂMICA QUÍMICA E FARMACÊUTICA LTDA,www.biodinamica.com.br,+55 (43) 3178-7000,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sup.vendas@biodinamica.com.br,8.0,8.0,Pending,,,,
Angelus Dental,angelus.ind.br,+55 (43) 2101-3200,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,desenvolvedor03@beatz.com.br,8.0,8.0,Pending,,,,
Abimade,abimade.com.br,+55 (11) 91413-4555,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,vendas@abimade.com.br,8.0,8.0,Pending,,,,
Aditek do Brasil,www.aditek.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@aditek.com.br,8.0,8.0,Pending,,,,
Allied Titanium - Dentfix,www.dentfix.com.br,+55 (19) 3584-7272,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,comercial@dentfix.com.br,8.0,8.0,Pending,,,,
BIOADVANCE INDÚSTRIA E COMÉRCIO DE PRODUTOS ORTPÉDICOS LTDA,www.bioadvance.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,comercial@bioadvance.com.br,8.0,8.0,Pending,,,,
CREMER S.A.,www.cremer.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,vendas.adesivos@cremer.com.br,7.5,7.5,Pending,,,,
COMPANHIA BRASILEIRA DE ESTERILIZAÇÃO - CBE EMBRARAD,www.cbesa.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,,7.0,7.0,Pending,,,,
Biometrix,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,Curitiba,PR,rbossler@biometrix.com,7.0,4.0,Pending,,,,
Nobel Biocare Brasil,www.nobelbiocare.com,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,falecom@envistaco.com,7.0,7.0,Pending,,,,
J&J,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,São Paulo,SP,dsafety@its.jnj.com,7.0,4.0,Pending,,,,
Alliage S.A,www.alliage.com.br,,,,,MASTER_ENRICHED_LEADS,Equipamentos Odontológicos,,,sac@alliage-global.com,7.0,7.0,Pending,,,,
Starlet Instrumentos Cirúrgicos,www.starlet.com.br,+55 (11) 97960-0450,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,atendimento@starlet.com.br,6.5,6.5,Pending,,,,
BIODINA INSTRUMENTOS CIENTÍFICOS LTDA,www.biodina.com.br,+55 (21) 4040-1111,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,vendas@biodina.com.br,6.5,6.5,Pending,,,,
BRAINLAB LTDA,www.brainlab.com,,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,dataprivacy@brainlab.com,6.5,6.5,Pending,,,,
FAGA MEDICAL IND. DE EQUIP. E INSTR. MED-HOSP LTDA ME,www.fagamed.com.br,+55 (14) 98118-1788,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,marcio.nobrega@galata.com.br,6.5,6.5,Pending,,,,
DORMED,www.dormed.com.br,+55 (31) 3474-9151,,,,MASTER_ENRICHED_LEADS,Equipamentos Hospitalares,,,vendas@dormed.com.br,6.0,6.0,Pending,,,,
Dentoflex,www.dentoflex.com.br,,,,,MASTER_ENRICHED_LEADS,Equipamentos Odontológicos,,,comercial@inp-dentoflex.com,6.0,6.0,Pending,,,,
Maquira,www.maquira.com.br,+55 (44) 4009-5800,,,,MASTER_ENRICHED_LEADS,Equipamentos Odontológicos,Maringá,PR,contato@maquira.com.br,6.0,6.0,Pending,,,,
Ad Instrumentos Cirúrgicos,www.adinstrumentos.com.br,+55 (16) 98178-0333,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,vendas@adinstrumentos.com.br,6.0,6.0,Pending,,,,
Dabi Atlante,www.dabiatlante.com.br,+55 (16) 98227-0297,,,,MASTER_ENRICHED_LEADS,Equipamentos Odontológicos,Ribeirão Preto,SP,sac@dabiatlante.com.br,6.0,6.0,Pending,,,,
BMR Medical,bmrmedical.com.br,,,,,MASTER_ENRICHED_LEADS,Equipamentos Hospitalares,,PR,larissa.carvalho@bmrmedical.com.br,6.0,6.0,Pending,,,,
Angelus,www.angelus.ind.br,+55 (43) 2101-3200,,,,MASTER_ENRICHED_LEADS,Materiais Odontológicos,Londrina,PR,desenvolvedor03@beatz.com.br,6.0,6.0,Pending,,,,
KND Cirúrgica,kndcirurgica.com,+55 (19) 99457-1013,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,Sumaré,SP,sac@kndcirurgica.com,6.0,6.0,Pending,,,,
Atrasorb,www.atrasorb.com.br,+55 (11) 5521-2076,,,,MASTER_ENRICHED_LEADS,Materiais Hospitalares,,,atrasorb@atrasorb.com.br,6.0,6.0,Pending,,,,
Artigos Odontológicos Clássico,www.classico.com.br,+55 (11) 3022-2588,,,,MASTER_ENRICHED_LEADS,Materiais Odontológicos,,,contato@classicmens.com.br,6.0,6.0,Pending,,,,
Factory Instrumental Cirúrgico,www.factorycirurgico.com.br,,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,info@freehtml5.co,6.0,6.0,Pending,,,,
Factory Instrumental,factorycirurgico.com.br,,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,info@freehtml5.co,6.0,6.0,Pending,,,,
BMR MEDICAL S.A.,www.bmrmedical.com.br,,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,jean@bmrmedical.com.br,6.0,6.0,Pending,,,,
Alfa Med Sistemas,www.alfamed.com,,,,,MASTER_ENRICHED_LEADS,Equipamentos Médicos,,,atendimento@alfamed.com,6.0,6.0,Pending,,,,
D&I Dispositivos e Inovação Hospitalar,,,,,,MASTER_ENRICHED_LEADS,Equipamentos Hospitalares,Barueri,SP,dihospitalar@dihospitalar.com.br,6.0,6.0,Pending,,,,
Barrfab,www.barrfab.com.br,+55 (54) 2628-8800,,,,MASTER_ENRICHED_LEADS,Equipamentos Hospitalares,,,posvendas@barrfab.com.br,6.0,6.0,Pending,,,,
Upmed,www.upmed.net.br,+55 (11) 2667-0544,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,vendas@upmed.net.br,6.0,6.0,Pending,,,,
Unitec Hospitalar,www.unitec-hospitalar.com.br,+55 (11) 5011-9291,,,,MASTER_ENRICHED_LEADS,Equipamentos Hospitalares,,,vendas@unitec-hospitalar.com.br,6.0,6.0,Pending,,,,
ABC Instrumentos,abcinstrumentos.com.br,+55 (11) 2353-4000,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,vendas@abcinstrumentos.com.br,6.0,6.0,Pending,,,,
Amaral & Cia,amaralecia.com,,,,,MASTER_ENRICHED_LEADS,Distribuidor Ortopedia,,,contato@amaralecia.com.br,6.0,6.0,Pending,,,,
American Instruments,www.americaninstruments.com.br,+55 (19) 99811-7605,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,info@americaninstruments.com.br,6.0,6.0,Pending,,,,
AMED S/A - American Medical,www.american-medical.net,+55 (38) 99178-0379,,,,MASTER_ENRICHED_LEADS,Materiais Consumo,,,,6.0,6.0,Pending,,,,
Araujo Lopes & Cia - American Burrs,www.americanburrs.com,+55 (48) 3374-3718,,,,MASTER_ENRICHED_LEADS,Instrumentos Odontológicos,,,sac@americanburrs.com,6.0,6.0,Pending,,,,
Pró-Hospitalar,prohospitalar.com.br,,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,Belo Horizonte,MG,comercial@prohospitalar.com.br,6.0,6.0,Pending,,,,
Rhosse Instrumentos,www.rhosse.com.br,+55 (16) 3965-9200,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,atendimento@rhosse.com.br,6.0,6.0,Pending,,,,
ARPE Medical,www.arpemedical.com.br,+55 (21) 3491-8357,,,,MASTER_ENRICHED_LEADS,Equipamentos Médicos,,,contato@arpemedical.com.br,6.0,6.0,Pending,,,,
Ortop Instrumental,,,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,atendimento@ortop.com.br,6.0,6.0,Pending,,,,
OrthoSystem,osimplantes.com.br,,,,,MASTER_ENRICHED_LEADS,Distribuidor Ortopedia,Rio Claro,SP,osimplantes@osimplantes.com.br,6.0,6.0,Pending,,,,
Gnatus,www.gnatus.com.br,+55 (17) 3321-6999,,,,MASTER_ENRICHED_LEADS,Equipamentos Odontológicos,Ribeirão Preto,SP,contato@gnatus.com.br,6.0,6.0,Pending,,,,
Ortomedic,ortomedic.com.br,+55 (11) 4123-9711,,,,MASTER_ENRICHED_LEADS,Distribuidor Ortopedia,São Bernardo do Campo,SP,comercial@ortomedic.com.br,6.0,6.0,Pending,,,,
Agaplastic,www.agaplastic.com.br,,,,,MASTER_ENRICHED_LEADS,Materiais Consumo,,,comercial@agaplastic.com.br,6.0,6.0,Pending,,,,
Biotronik,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,São Paulo,SP,privacy@biotronik.com,5.5,4.0,Pending,,,,
Align Technology,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,São Paulo,SP,privacy_dpo@aligntech.com,5.5,4.0,Pending,,,,
Arthrex,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,São Paulo,SP,info@arthrexmedicalcenter.com,5.5,4.0,Pending,,,,
ITS-MC,www.its-mc.com,,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,comunicacao@its-mc.com,5.0,5.0,Pending,,,,
M3DIC Healthcare,,,,,,MASTER_ENRICHED_LEADS,Impressão 3D Médica,,,,5.0,5.0,Pending,,,,
Auto Suture Brasil - Covidien,www.covidien.com,,,,,MASTER_ENRICHED_LEADS,Instrumentos Cirúrgicos,,,tecnovigilancia@covidien.com,5.0,5.0,Pending,,,,
Metalvet,www.metalvet.com.br,+55 (11) 94889-3820,,,,MASTER_ENRICHED_LEADS,Veterinário Ortopedia,,,metalvet@metalvet.com.br,5.0,5.0,Pending,,,,
Fixin Brasil,fixinbrasil.com.br,+55 (16) 99756-6883,,,,MASTER_ENRICHED_LEADS,Veterinário Ortopedia,,,contato@fixinbrasil.com.br,5.0,5.0,Pending,,,,
Memed,,,,,,MASTER_ENRICHED_LEADS,MedTech Software,São Paulo,SP,support@me-med.com,5.0,5.0,Pending,,,,
Globo Medical,globomedical.com.br,+55 (11) 3862-4427,,,,MASTER_ENRICHED_LEADS,Distribuidor Ortopedia,,,,5.0,5.0,Pending,,,,
Intuitive,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,Belo Horizonte,MG,support.uk@intusurg.com,4.5,4.5,Pending,,,,
HP BIOPRÓTESES LTDA EPP,http://hpbio.com.br/home/,+55 (49) 9127-5254,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,,,info@dewtradinggroup.com,4.5,4.5,Pending,,,,
Edwards Lifesciences,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,São Paulo,SP,patient_support@edwards.com,4.5,4.5,Pending,,,,
Leica Byosistems,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,São Paulo,SP,info@leicabiosystems.com,4.0,4.0,Pending,,,,
Accuray,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,Barueri,SP,hrhelpdesk@accuray.com,4.0,4.0,Pending,,,,
Telex,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,Rio de Janeiro,RJ,,4.0,4.0,Pending,,,,
ALACER BIOMÉDICA INDÚSTRIA ELETRÔNICA LTDA,https://www.alacer.com.br/,+55 (11) 5671-6790,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,,,gislene@alacer.com.br,4.0,4.0,Pending,,,,
Solventum,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,Sumaré,SP,investors@solventum.com,4.0,4.0,Pending,,,,
Sinclair Pharma Brazil,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,São Paulo,SP,lsilva@sinclair.com,4.0,4.0,Pending,,,,
AMO Brasil,,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,São Paulo,SP,sac@amobrasil.org,4.0,4.0,Pending,,,,
AUTO SUTURE DO BRASIL LTDA - COVIDIEN,www.covidien.com,,,,,MASTER_ENRICHED_LEADS,Dispositivos Médicos,,,licitacoes.brasil@covidien.com,4.0,4.0,Pending,,,,
