Website,Email,Phone,Decision_Maker,LinkedIn_Company,LinkedIn_Person,Lead_Score,Priority
ocximplantes.com.br,vendas@ocximplantes.com.br,55 (11) 97640-0051,Cidomar Lima,https://www.linkedin.com/company/ocx-implantes/,,80,High
https://www.helse.odo.br/,vendas@www.helse.odo.br,55 (16) 3954-1464,Ultrassom Odontológico - dentista,https://www.linkedin.com/company/helse-ultrasonics/,,80,High
www.barrfab.com.br,posvendas@barrfab.com.br,55 (54) 2628-8800,Arion Jose Barretti Margô,https://www.linkedin.com/company/barrfab/,,80,High
ortobio.ind.br,licitacao@enfermed.net.br; contato@diplomaciabusiness.com,55 (44) 3269-5045,Antonio Villaca Torres Júnior ஃ,https://www.linkedin.com/company/ortobio---industria-e-comercio-de-produtos-ortopedicos/,,80,High
abcinstrumentos.com.br,vendas@abcinstrumentos.com.br,55 (11) 2353-4000,Peter Ravichandran,https://www.linkedin.com/company/abcinstrumentos/,,80,High
www.atrasorb.com.br,contact@www.atrasorb.com.br,55 (11) 5521-2076,Carlos A Campos Campos,https://www.linkedin.com/company/atrasorb-industria-de-produtos-hospitalares/,,80,High
prohospitalar.com.br,comercial@prohospitalar.com.br,55 (31) 99951-9962,Probo Hospitalar,https://www.linkedin.com/company/prohospitalarequipamentos/,,80,High
abimade.com.br,cavalli.medicamentos@gmail.com,55 (11) 91413-4555,Wilson Rosa,https://www.linkedin.com/company/abimadeprodutosmedicos/,,80,High
http://www.dentalmedsul.com.br/,contact@www.dentalmedsul.com.br,55 800 941 2490,José Jack Donini - Diretor Comercial,https://www.linkedin.com/company/dental-med-sul/,,80,High
http://www.vmimedica.com/,info@www.vmimedica.com,55 31 3370-3750,Júlio Damião - Presumed Senior Executive (based on association with VMI and leadership roles),https://www.linkedin.com/company/vmi-medica,,80,High
https://linktr.ee/odontocompany_schroeder,info@linktr.ee,55 47 99651-0116,Diego Nakagawa - CMO,https://www.linkedin.com/company/nacional-ossos-europe/,,80,High
https://www.implacil.com.br/,sac@implacil.com.br,55 11 3342-5100,Aluizio Canto - CEO; Kevin Lee - Co-CEO,https://www.linkedin.com/company/implacil-osstem/,,80,High
http://www.ortosintese.com.br/,ortosintese@ortosintese.com.br,55 11 3948-4000,Ricardo Barcellos - CEO,https://www.linkedin.com/company/ortosintese/,,80,High
https://linktr.ee/odontocompany.bbs,info@linktr.ee,55 47 3407-1753,Marcello Farrel - CEO,https://www.linkedin.com/company/odontocompany/,,80,High
https://www.neodent.com.br/fale-conosco/,contact@www.neodent.com.br,55 800 707 2526,Alexei Costa - Executive Vice President Latin America and President Neodent; Dr. Geninho Thomé - President of Neodent and Chairman of the Board of Directors,https://www.linkedin.com/company/neodent/,,80,High
https://fgmdentalgroup.com/,sales@fgmdentalgroup.com,55 800 644 6100,Bianca Mittelstädt - CEO; Edilson Bianqui - Diretor,https://www.linkedin.com/company/fgm/,,80,High
https://portal.lumiarsaude.com.br/unidades/porto-alegre-rs/,contact@portal.lumiarsaude.com.br,55 51 99701-2214,Lauro Mingues - General Director; Carlos Rosa - Chief Technology Officer,https://www.linkedin.com/company/lumiar-health-care,,80,High
http://www.gmreis.com.br/,contato@www.gmreis.com.br,55 19 3765-9900,Eng. Geraldo Marins dos Reis - CEO,https://www.linkedin.com/company/gmreis/,,80,High
http://www.systhex.com.br/,contato@systhex.com.br,55 800 600 6905,Flavia Ventura Nicolau Melhem - Sócio-Administrador (Commercial Director); Gastao Valle Nicolau - Sócio (Founder),https://www.linkedin.com/company/systhex/,,80,High
http://www.neoortho.com.br/,info@www.neoortho.com.br,55 41 3535-1105,Dr. Geninho Thomé - President and Founder of NeoOrtho; João Alfredo Thomé - Senior Leadership (Son of Dr. Geninho Thomé),https://www.linkedin.com/company/neoortho-medartis-group/,,80,High
www.impol.com.br,impol01@hotmail.com; endonca@hotmail.com; cotacao@primecomercios.com.br,55 (11) 94289-1627,Marco Polisel,https://www.linkedin.com/company/impol,,75,High
titaniumfix.com/br,atadeuborges@gmail.com; atedeuborges@bol.com.br,55 (12) 98126-9820,Gilmar Lopes,https://www.linkedin.com/company/titaniumfix,,75,High
www.adinstrumentos.com.br,vendas@adinstrumentos.com.br,55 (16) 98178-0333,Diretor na ASCAMAS INSTRUMENTOS CIRURGICOS,https://www.linkedin.com/company/adinstrumentos/,,75,High
www.classico.com.br,vendas@www.classico.com.br,55 (11) 3022-2588,Rafael Tiago Patzlaff,https://www.linkedin.com/company/cl%C3%A1ssico/,,75,High
www.rhosse.com.br,atendimento@rhosse.com.br,55 (16) 3965-9200,matheus Barro,https://www.linkedin.com/company/rhossebr/,,75,High
http://www.unitec-hospitalar.com.br/,vendas@unitec-hospitalar.com.br,55 11 5011-9291,Unitec Hospitalar (médico),https://www.linkedin.com/company/unitechospitalar/,,75,High
http://ocximplantes.com.br/,vendas@ocximplantes.com.br,55 11 4306-4274,Eduardo Nepomuceno Pires - Senior Executive (likely CEO or Owner),https://www.linkedin.com/company/ocx-implantes-especializados,,75,High
www.straumann.com/neodent,contato@grupovladiagoncalves.com.br,,Matthias Schupp – CEO at Medartis,https://www.linkedin.com/company/neodent/,,75,Medium
www.stryker.com/br,vendas@www.stryker.com,,Marcos Lopes,https://www.linkedin.com/company/stryker/,,75,Medium
www.nobelbiocare.com,vendas@www.nobelbiocare.com,,Richard Laube – Co,https://www.linkedin.com/company/nobel-biocare/,,75,Medium
http://www.bionnovation.com.br/,sac@bionnovation.com.br,,Jorge Fernandes,https://www.linkedin.com/company/bionnovation-biomedical/,,75,Medium
www.conexao.com.br,comercial@conexao.com.br,,Cesar Augusto Campaneri,https://www.linkedin.com/company/conexaoimplants/,,75,Medium
www.biomecanica.com.br,soc.bras.biomecanica@gmail.com; bioengenharia@aacd.org.br; biocor@biocor.com.br,,Ana Carolina Pengo,https://www.linkedin.com/company/biomecanicasaude/,,75,Medium
www.dentsplysirona.com,contact@www.dentsplysirona.com,,Tiago Veiga,https://www.linkedin.com/company/dentsplysirona/,,75,Medium
www.effdental.com.br,comercial@www.effdental.com.br,,João Victor Ramalho Alexandre,https://www.linkedin.com/company/eff-dental-componentes/,,75,Medium
www.microdont.com.br,sales@www.microdont.com.br,,Uelton Lima Santos,https://www.linkedin.com/company/3r/,,75,Medium
www.essity.com,sege_gespublica@maringa.pr.gov.br,,Charlene Tomazino,https://www.linkedin.com/company/essity/,,75,Medium
ortosintese.com.br,contato@ints.org.br,,Alessandro Napolitano,https://www.linkedin.com/company/ortosintese/,,75,Medium
www.dentoflex.com.br,sac@www.dentoflex.com.br,,Vladimir Berjozov,https://www.linkedin.com/company/dentoflex-sistema-de-implantes/,,75,Medium
kndcirurgica.com,atendimento@kndcirurgica.com,55 (19) 99457-1013,Nicola Kanedo,https://www.linkedin.com/company/kndcirurgica/,,70,High
https://www.lohmedical.com/pt-br,infocostarica@lohmedical.com,55 11 2308-3673,Nadia Richez - Chief Executive Officer (CEO),https://www.linkedin.com/company/lohmedical,,70,High
http://www.zimmerbiomet.com.br/,comercial@www.zimmerbiomet.com.br,55 11 3568-1316,"Ivan Tornos - Chairman, President and Chief Executive Officer",https://www.linkedin.com/company/zimmer-biomet/,,70,High
http://www.distribuidorabrasilmed.com.br/,sac@distbrasil.net,55 62 3565-1600,Wilson Ferreira Jr - CEO,https://www.linkedin.com/company/br-distribuidora/,,70,High
http://www.sterilex.com.br/,marketing@sterilex.com.br,55 11 2606-5349,Eduardo Guimaraes - CEO,https://www.linkedin.com/company/sterilex/,,70,High
https://www.dentalcremer.com.br/laboratorio,insidesales@dentalcremer.com.br,55 800 727 0568,Paulo Batista - Chief Executive Officer / Managing Director,https://www.linkedin.com/company/dental-cremer/,,70,High
https://dspbiomedical.com/,info@dspbiomedical.com,55 800 600 8866,Yoni Tserruya - Co-Founder & CEO; Célio Netzel - Diretor,https://www.linkedin.com/company/dspbiomedical/,,70,High
https://www.stryker.com,infosmi@stryker.com,55 (12) 8227-3388,Kevin Lobo - Chair and Chief Executive Officer,https://www.linkedin.com/company/stryker/,,70,High
http://www.orthofix.it/br/,atendimento@www.orthofix.it,55 11 3087-2266,Massimo Calafiore - President and Chief Executive Officer,https://www.linkedin.com/company/orthofix-medical-inc-,,70,High
http://isaclin.com.br/,vendas@isaclin.com.br,55 51 99984-0872,Information not publicly available - Senior leadership details not found,https://www.linkedin.com/company/isaclin-hospital-de-clinicas-produtos-hospitalares,,70,High
https://www.straumann.com/neodent/br/pt/profissionais.html,sales@www.straumann.com,55 41 2169-4000,Alexei Costa - Executive Vice President Latin America and President Neodent,https://www.linkedin.com/company/straumann/,,70,High
http://www.topmedbrasil.com.br/,atendimento@topmedbrasil.com.br,55 62 3642-9440,Valda Stange - CEO,https://www.linkedin.com/company/topmedbrasil,,70,High
http://www.brazilh.com.br/,contato@brazilh.com.br,55 48 99117-2309,Márcia Juchem - CEO,https://www.linkedin.com/company/brazil-health-management,,70,High
https://singularimplants.com.br,comercial@singularimplants.com.br,55 (84) 99806-2299,Dalton Rodrigues - Director,https://www.linkedin.com/company/singular-implants,,70,High
http://allent.com.br/,contact@allent.com.br,55 11 3062-2600,Luiz Carlos Bianchi Filho - Presidente and CEO,https://www.linkedin.com/company/allent-medical-supplies,,70,High
http://www.terumo.com.br/,contato@terumomedical.com,55 11 3594-3800,Hikaru Samejima - Chief Executive Officer,https://www.linkedin.com/company/terumo/,,70,High
https://advancedmedical.com.br/contato/,comercial@advancedmedical.com.br,55 31 3146-5811,Fred Aslan - Chief Executive Officer; Claudia Goulart - Chief Operating Officer and President of the Diagnostics division,https://www.linkedin.com/company/adaviummedical/,,70,High
https://www.arthrex.com/pt,info@www.arthrex.com,55 11 4130-8950,Claudio Mazzaferro - CEO; Anderson Bueno - Sales Manager,https://www.linkedin.com/company/arthrex,,70,High
https://www.ortosintese.com.br/,ortosintese@ortosintese.com.br,55 11 3948-4000,Ricardo Barcellos - CEO; Tatiane Galindo - Executive Director,https://www.linkedin.com/company/ortosintese/,,70,High
http://ortofawler.com.br/,contato@ortofawler.com.br,55 21 97888-1596,Information not publicly available - Senior leadership details not found,https://www.linkedin.com/company/ortofawler/,,70,High
https://www.neodent.com.br/noticias/neodent-inaugura-filial-em-campinas-2/,contact@www.neodent.com.br,55 800 707 2526,Alexei Costa - Executive Vice President Latin America and President Neodent; Matthias Schupp - CEO Neodent,https://www.linkedin.com/company/neodent,,70,High
https://www.neodent.com.br/noticias/filial-da-neodent-no-rj-agora-em-novo-endere%C3%A7o/,contact@www.neodent.com.br,55 800 707 2526,Matthias Schupp - CEO; Dr. Geninho Thomé - Founder and Chairman of the Board of Directors,https://www.linkedin.com/company/neodent/,,70,High
https://shop.straumann.com/neodent/br/pt_br,eshop.brasil@straumann.com,55 11 3728-2700,Matthias Schupp - CEO; Geninho Thomé - Founder and Chairman of the Board of Directors,https://www.linkedin.com/company/neodent/,,70,High
https://www.neodent.com.br/,contact@www.neodent.com.br,55 800 707 2526,Matthias Schupp - CEO; Alexei Costa - Executive Vice President Latin America and President Neodent,https://www.linkedin.com/company/neodent,,70,High
https://www.neodent.com.br/fale-conosco/,contact@www.neodent.com.br,55 800 707 2526,Matthias Schupp - CEO; Dr. Geninho Thomé - Founder and Chairman of the Board of Directors,https://www.linkedin.com/company/neodent/,,70,High
http://www.evidentdental.com.br/,info@www.evidentdental.com.br,55 41 3322-5069,Paolo Kalaw - Chairman and CEO,https://www.linkedin.com/company/evident-digital,,70,High
http://www.straumann.com.br/,contato@www.straumann.com.br,55 41 2169-1000,Matthias Schupp - CEO of Neodent and EVP of the Straumann Group in Latin America; Dr Geninho Thomé - Scientific President & President of the Board of Neodent (former CEO and co-founder),https://www.linkedin.com/company/straumann/,,70,High
https://www.straumann.com/neodent/br/pt/profissionais.html,sales@www.straumann.com,55 800 707 2526,Alexei Costa - Executive Vice President Latin America and President Neodent,https://www.linkedin.com/company/neodent/,,70,High
https://www.neodent.com.br/fale-conosco/,contact@www.neodent.com.br,55 800 707 2526,Matthias Schupp - CEO; Dr. Geninho Thomé - Scientific President & President of the Board,https://www.linkedin.com/company/neodent/,,70,High
http://www.kesa.com.br/,sales@www.kesa.com.br,55 81 3366-4664,Daniel de Paula Hemeterio - Director,https://www.linkedin.com/company/kesa-equipamentos-hospitalares,,70,High
https://www.npclinic.com.br/,relacionamento@npclinic.com.br,55 48 99674-7419,Dr. Nilton Paschoal - Founder and CEO,https://www.linkedin.com/company/npclinic,,70,High
http://atosmedica.com.br/,sac@atosmedica.com.br,55 81 3204-2688,Rasmus Sørensen - President Atos Medical,https://www.linkedin.com/company/atos-medical/,,70,High
https://portal.lumiarsaude.com.br/unidades/salvador-ba/,contact@portal.lumiarsaude.com.br,55 800 080 0005,Lauro Mingues - General Director,https://www.linkedin.com/company/lumiar-health-care/,,70,High
http://www.intelectah.com.br/,sales@www.intelectah.com.br,55 81 3204-0136,Luciano Regus - CEO,https://www.linkedin.com/company/intelectah,,70,High
https://www.epione.com.br/,info@www.epione.com.br,55 81 99900-9881,Carlos Borba - CEO,https://www.linkedin.com/company/epione/,,70,High
https://www.dedalus.com/brasil/pt-pt,comercial@www.dedalus.com,55 81 3267-1400,"Diretor Financeiro (Diretor), Sociedade Espanhola (Sócio)",https://www.linkedin.com/company/dgs-brasil-grupo-dedalus,,70,High
https://aponti.org.br/,contact@aponti.org.br,55 81 3071-7596,Patricia Raposo - CEO,https://www.linkedin.com/company/aponti,,70,High
https://www.implantecodontologia.com.br/,atendimento@www.implantecodontologia.com.br,55 61 3366-3999,Gianfranco Navarrette - Sócio-Administrador; Karina Braga Araujo - Sócio-Administrador,https://www.linkedin.com/company/implantec-odontologia,,70,High
http://www.vitalimplantes.com.br/,contato@www.vitalimplantes.com.br,55 61 3030-5757,Vital Implantes (Dentista),https://www.linkedin.com/company/vital,,70,High
https://www.nexxera.com/,suporte.mercantil@nexxera.com,55 48 2106-5698,Edson Silva - CEO,https://www.linkedin.com/company/nexxera/,,70,High
http://www.salvus.me/,contato@salvus.me,55 81 99100-7320,Maristone Gomes - CEO and Founder; Rayanne Santana - Head of Fundraising,https://www.linkedin.com/company/salvus/,,70,High
http://www.grupotrino.com.br/,comercial@grupotrino.com.br,55 81 3243-8500,Gerson Barros - CEO; Cláudio Fernandes - Co-founder,https://www.linkedin.com/company/grupo-trino,,70,High
http://www.dinamikasolucoes.com.br/,contato@dinamikasolucoes.com.br,55 81 3099-1010,Bairro Novo (Presidente),https://www.linkedin.com/company/dinâmika-soluções,,70,High
http://loeffa.com/,contact@loeffa.com,55 48 99630-1700,Henrique Collaço - CEO,https://www.linkedin.com/company/loeffa/,,70,High
https://dynamox.net/,vendas@dynamox.net,55 48 3024-5858,"Alexandre Ferreira (CEO), Guillaume Barrault (CEO)",https://www.linkedin.com/company/dynamox,,70,High
https://oralsincampinasouroverde.com.br/,sac@oralsincampinasouroverde.com.br,55 19 3266-9944,Felipe Sapata - CEO; Evandro Veronezi - Chief Operating Officer (COO),https://www.linkedin.com/company/oral-sin-implantes/,,70,High
https://www.implaceimplantes.com.br/,contact@www.implaceimplantes.com.br,55 19 3254-5440,Daniel Crivari - Diretor Clinico E Desenvolvimento Comercial,https://www.linkedin.com/company/implace-implantes/,,70,High
https://www.ispsaude.com.br/,vendas@www.ispsaude.com.br,55 19 3014-7431,Dr. Anelise Costa - CEO,https://www.linkedin.com/company/isp-saude/,,70,High
http://www.medley.com.br/,contact@www.medley.com.br,55 800 729 8000,Richard Medley - CEO; Ricardo Barone - Key Principal,https://www.linkedin.com/company/medley-farmac%C3%AAutica/,,70,High
http://www.trbpharma.com.br/,sac@www.trbpharma.com.br,55 800 100 5588,Alexandre Corrêa - Chief Executive Officer (CEO),https://www.linkedin.com/company/trb-pharma/,,70,High
https://mariadeccor.com.br/,contato@mariadeccor.com.br,55 19 98781-4043,Mariana Farina - CEO,https://www.linkedin.com/company/mariadeccor/,,70,High
https://implantedentalcampinas.com.br/,contato@implantedentalcampinas.com.br,55 19 98873-0888,Dr. Bruno Fiamenghi - Owner and Dentist / Clinic Director,https://www.linkedin.com/company/implante-dental-campinas/,,70,High
https://institutocaldeira.org.br/,atendimento@institutocaldeira.org.br,55 51 3378-5656,Pedro Valério - CEO,https://www.linkedin.com/company/instituto-caldeira/,,70,High
http://ubots.com.br/,contato@ubots.com.br,55 51 3508-9315,Rafael de Paula Souza - Co-Founder and CEO; Gustavo Dias Silveira - Co-founder and CPO,https://www.linkedin.com/company/ubots,,70,High
http://www.dentalprogresso.com.br/,vendas@dentalprogresso.com.br,55 19 3737-4137,Dr. Sergia Izabel Claudino - Owner,https://www.linkedin.com/company/dental-progresso/,,70,High
https://www.intraumed.com.br/,contato@intraumed.com.br,55 19 98306-3950,José Carlos Santos - CEO,https://www.linkedin.com/company/intraumed/,,70,High
http://www.biocam.com.br/,comercial@biocam.com.br,55 19 3272-8000,Rogério Ulbrich - CEO,https://www.linkedin.com/company/biocam-equipamento-medico-hospitalar/,,70,High
http://gadalimedical.com.br/,contato@gadalimedical.com.br,55 19 3291-3882,Karlos Eduardo (Diretor),https://www.linkedin.com/company/gadali-medical,,70,High
http://www.magilule.com.br/,contato@magilule.com.br,55 48 99967-1116,Magno Luís Magalhães - CEO,https://www.linkedin.com/company/magilule-macas-portateis/,,70,High
http://www.anestech.com.br/,contato@anestech.com.br,55 48 3380-1827,Diogenes Silva - CEO,https://www.linkedin.com/company/anestech-innovation-rising,,70,High
http://www.mscmed.com.br/,comercial@mscmed.com.br,55 48 3236-7401,Heitor Korndorfer - Chief Executive Officer,https://www.linkedin.com/company/msc-med/,,70,High
https://www.acate.com.br/,info@www.acate.com.br,55 48 2107-2700,Diego Ramos - Presidente (CEO) da ACATE,https://www.linkedin.com/company/acate-associacao-catarinense-de-tecnologia/,,70,High
http://prosaudesc.com.br/,comercial@prosaudesc.com.br,55 49 3324-5585,Jesuel Souza - Fundador e CEO,https://www.linkedin.com/company/prosaude-distribuidora-de-medicamentos,,70,High
http://www.nanocore.com.br/,sales@www.nanocore.com.br,55 19 3283-0084,Jose Maciel Rodrigues - Director and Founder,https://www.linkedin.com/company/nanocore-biotecnologia-sa,,70,High
http://assertiva.com.br/,atendimento@assertivasolucoes.com.br,55 11 3197-0719,Hederson Albertini - Founder and CEO,https://www.linkedin.com/company/assertiva-solucoes/,,70,High
http://www.venturus.org.br/,contato@venturus.org.br,55 19 3755-8600,Kleber Nardi - Executive Manager,https://www.linkedin.com/company/venturus/,,70,High
https://iois.com.br/,comercial@iois.com.br,55 61 99698-7275,Dr. Fabiano Alves - CEO,https://www.linkedin.com/company/iois-instituto-odontologico-integrativo,,70,High
https://www.kress.com.br/,sac@kress.com.br,55 47 3435-3166,Rudimar Fedrigo - CEO,https://www.linkedin.com/company/kress-farmaceutica-s-a,,70,High
https://fgmdentalgroup.com/,sales@fgmdentalgroup.com,55 800 644 6111,Bianca Mittelstädt - CEO; Rafael Manzoli Morita - CFO,https://www.linkedin.com/company/fgm-dental-group,,70,High
https://solumedi.com.br/joinville,vendas@solumedi.com.br,55 47 3100-0014,Dr. André Luiz Brodbeck - CEO,https://www.linkedin.com/company/solumedi/,,70,High
https://www.laboresaude.com.br/,comercial@laboresaude.com.br,55 47 3433-1839,Dr. Rosylane Rocha - Director,https://www.linkedin.com/company/labore-occupational-health,,70,High
http://www.senior.com.br/,vendas@www.senior.com.br,55 47 3221-3300,Carlênio Castelo Branco - CEO,https://www.linkedin.com/company/senior-sistemas/,,70,High
http://www.neojoinville.com.br/,sac@www.neojoinville.com.br,55 47 3028-7722,Luiz Iannini - CEO,https://www.linkedin.com/company/neo-joinville/,,70,High
http://wedotec.com.br/,vendas@wedotec.com.br,55 27 2122-6300,Mario Sander - CEO,https://www.linkedin.com/company/wedo-tecnologia,,70,High
https://dersalis.com.br/,info@isafe-mobile.com,55 27 99718-0837,Pedro Henrique Moraes Guizardi - CEO,https://www.linkedin.com/company/dersalis,,70,High
https://www.ish.com.br/,sales@www.ish.com.br,55 27 3334-8900,Rodrigo Dessaune - Chairman (President of the Board of Administration); Allan Costa - Co-CEO (VP of Operations),https://www.linkedin.com/company/ish-tecnologia/,,70,High
http://www.uniodigital.com.br/,info@www.uniodigital.com.br,55 27 3118-9800,Hassan Shah - Chief Executive Officer,https://www.linkedin.com/company/unio-digital/,,70,High
http://www.slshospitalar.com.br/,sls@slshospitalar.com.br,55 47 3033-8300,"Information on specific key decision makers (CEO, Owner, Director, Manager) for SLS Hospitalar in Joinville, SC, Brazil is not found in the provided search results.",https://www.linkedin.com/company/sls-hospitalar,,70,High
https://odontomedicaville.com.br/,contato@odontomedicaville.com.br,55 47 99989-7205,Alfredo Horst - Owner,https://www.linkedin.com/company/odontomedicaville-assistencia-tecnica-odontologica,,70,High
https://eurofarma.com.br/,contato@eurofarma.com.br,55 16 3512-4900,Mauro Ferreira - CEO; Martha Penna - Vice President of Innovation,https://www.linkedin.com/company/eurofarma/,,70,High
https://www.santahelena.com/,vendas@www.santahelena.com,55 16 3934-1000,Gino Di Domenico - CEO; Joanita Maestri Karoleski - Member of the Board of Administration,https://www.linkedin.com/company/santa-helena/,,70,High
https://biocure.com.br/,info@biocure.com.br,55 16 3962-8300,André Bomeny Freire - Diretor executivo; Carlos Picasso - Executive Director,https://www.linkedin.com/company/biocure---pharma-biotechnology,,70,High
http://www.mafradelivery.com.br/,sales@www.mafradelivery.com.br,55 16 2132-5000,Leonardo Byrro - CEO of Viveo (parent group of Mafra Especialidades); Carlos Mafra - Founder of Mafra Especialidades (historical senior figure),https://www.linkedin.com/company/viveo/,,70,High
https://www.grupomidia.com/,contato@grupomidia.com,55 16 3913-9800,Edmilson Jr. Caparelli - Presidente (President) do Grupo Mídia; Edmilson Caparelli - Diretor (Director) do Grupo Mídia,https://www.linkedin.com/company/grupo-mídia,,70,High
http://www.logmed.net/,atendimento@www.logmed.net,55 16 3329-3225,Danilo Magri - CEO; Ricardo Caldi - Co-founder and managing partner,https://www.linkedin.com/company/logmed/,,70,High
https://www.fatoinstrumentos.com.br/,sales@www.fatoinstrumentos.com.br,55 16 99993-9140,Michael Robinson - President & Chief Executive Officer,https://www.linkedin.com/company/fato-instrumentos,,70,High
http://www.medicalsupport.com.br/,contato@medicalsupport.com.br,55 16 3630-8818,Medical Support (médico),https://www.linkedin.com/company/medical-support,,70,High
http://www.deltronix.com.br/,vendas@deltronix.com.br,55 16 4009-5454,Carlos Alberto Paulin - CEO,https://www.linkedin.com/company/deltronix-medical-devices/,,70,High
https://www.wosonline.com.br/,woson.latam@wosongroup.com,55 16 3771-9988,Frankie Liu - CEO do Woson Group no Brasil; Lúcia de Fátima da Silva - CEO da WOSON,https://www.linkedin.com/company/woson/,,70,High
http://www.centermedica.com.br/,atendimento@www.centermedica.com.br,55 16 3620-3433,Paulo Roberto Alves - CEO,https://www.linkedin.com/company/centermedica-equipamentos-hospitalares-ltda,,70,High
https://www.odontoleipner.com.br/,contato@odontoleipner.com.br,55 16 99633-9001,Marcelo Leipner (Responsável),https://www.linkedin.com/company/odonto-leipner,,70,High
https://clinicaevidenceodontologia.com.br/,contact@clinicaevidenceodontologia.com.br,55 16 99247-0522,Dr. Juliana Moura - Owner and Clinical Director,https://www.linkedin.com/company/clinica-evidence-odontologia,,70,High
https://www.lemanth.com.br/,contato@lemanth.com.br,55 61 3976-1244,"Jorge Paulo Lemann - Co-founder and key senior figure of 3G Capital, influential investment firm associated with Lemanth's sector",https://www.linkedin.com/company/lemanth/,,70,High
http://www.benner.com.br/,info@www.benner.com.br,55 61 3246-1197,Severino Benner - Chief Executive Officer (CEO); Taís Castro - Commercial Director,https://www.linkedin.com/company/benner/,,70,High
http://www.dentalcoimbra.com.br/,atendimento@www.dentalcoimbra.com.br,55 62 3928-8400,Carlos Eduardo Coimbra - CEO,https://www.linkedin.com/company/coimbra-dental-trade/,,70,High
https://www.engesoftware.com/,vendas@www.engesoftware.com,55 61 3362-5000,Fernando Oliveira Freitas - Diretor Presidente; Eduardo Antonio Lobo Filho - Diretor,https://www.linkedin.com/company/engesoftware-tecnologia-s-a,,70,High
http://sinimplantsystem.com/,international@sinimplantsystem.com,55 27 3325-3038,Felipe Leonard - CEO,https://www.linkedin.com/company/sinimplante,,70,High
https://portal.lumiarsaude.com.br/unidades/vitoria-es/,contact@portal.lumiarsaude.com.br,55 27 98171-5482,Lauro Mingues - General Director,https://www.linkedin.com/company/lumiar-health-care/,,70,High
https://www.farmaderm.com.br/,comercial@www.farmaderm.com.br,55 27 2125-3262,Oliver Queiroz - Farmacêutico,https://www.linkedin.com/company/farmaderm/,,70,High
http://www.agimed.com.br/,contato@agimed.com.br,55 62 99952-6467,Andreia Estelita (CEO),https://www.linkedin.com/company/agimed-comércio-de-equipamentos-ltda,,70,High
