Nome Empresa,Website,Address,Rating,Reviews,Phone,Types,Source,Search_Query
SISPACK MEDICAL,http://www.sispack.com.br/,"R. Doze de Setembro, 1173 - Vila Guilherme, São Paulo - SP, 02052-001, Brazil",5.0,5.0,+55 11 2955-2222,"health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
São Paulo Surgical,http://saopaulosurgical.com.br/contato/,"Ed. Thera Office - Av. Engenheiro Luís Carlos Berrini, 105 - sala 1201, 12º andar - Cidade Monções, São Paulo - SP, 04571-010, Brazil",4.0,4.0,+55 11 3504-1570,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Range Med,http://www.rangemed.com.br/,"R. Cel. Xavier de Toledo, 161 - CJ 803 - República, São Paulo - SP, 01048-100, Brazil",4.5,8.0,+55 11 96782-1301,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Zimmer Biomet Brasil (Ortopedia),http://www.zimmerbiomet.com.br/,"Rua Machado Bitencourt, 361 - Vila Clementino, São Paulo - SP, 04044-001, Brazil",2.3,7.0,+55 11 3568-1316,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
KARL STORZ Endoscopia Brasil Ltda.,https://www.karlstorz.com/,"Av. Dr. Chucri Zaidan, 1240 - 12º andar - Vila Sao Francisco (Zona Sul), São Paulo - SP, 04711-130, Brazil",4.2,17.0,+55 11 3526-4600,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
3Shape Brazil,https://www.3shape.com/,"Av. das Nações Unidas, 12.399 - cj.101B - Cidade Monções, São Paulo - SP, 04758-000, Brazil",4.6,11.0,+55 11 3596-3879,"health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Stryker Brasil,http://www.stryker.com.br/,"Rua Urussuí, 300 - 8º andar - Itaim Bibi, São Paulo - SP, 04542-050, Brazil",3.4,5.0,+55 11 5189-2500,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Allent Medical Supplies,http://allent.com.br/,"R. Augusta, 1939 - Conj 32, 72, 73, 81, 82 e 83 - Cerqueira César, São Paulo - SP, 01413-000, Brazil",5.0,2.0,+55 11 3062-2600,"health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Radiomed Comércio Importação EIRELI,http://www.radiomed.med.br/,"Alameda Lorena, 1304 - Jardim Paulista, São Paulo - SP, 01424-004, Brazil",5.0,6.0,+55 11 3885-2166,"health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Novatech Distribuidora Médica,,"R. Barata Ribeiro, 237 - Salas 52, 53 e 103 - Bela Vista, São Paulo - SP, 01313-001, Brazil",5.0,2.0,+55 11 3259-6508,"store, health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Balt Brasil,http://www.baltgroup.com/,"Av. Bem-te-vi, 77 - 8º andar - Moema, São Paulo - SP, 04524-030, Brazil",,,+55 11 3014-9797,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Terumo,http://www.terumo.com.br/,"Praça Gen. Gentil Falcão, 108 - 9º - Cidade Monções, São Paulo - SP, 04571-150, Brazil",4.4,8.0,+55 11 3594-3800,"health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Oxigen,http://www.oxigenind.com.br/,"R. Redenção, 44 - Chácara Tatuapé, São Paulo - SP, 03060-010, Brazil",4.8,6.0,+55 11 2696-0010,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Therapin,http://therapin.com.br/,"R. Capital Federal, 79 - Sumaré, São Paulo - SP, 01259-010, Brazil",4.9,106.0,+55 11 3136-0986,"health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
JJ HEALTH,,"Av. Nove de Julho, 4939 - Jardim Paulista, São Paulo - SP, 01407-200, Brazil",5.0,9.0,+55 11 99488-3644,"wholesaler, store, health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Bioteck Orthopedic Implants,https://www.bioteckimplants.com/,"R. Dra. Maria Augusta Generoso Estrela, 1060 - Rubem Berta, Porto Alegre - RS, 91180-200, Brazil",5.0,10.0,+55 51 3272-2000,"point_of_interest, establishment",Google Places API,Orthopedic Implants Manufacturer Brazil
Bone Surgical Equipamentos Médicos Eireli,https://bonesurgical.com.br/,"Av. Angélica, 2346 - 9° Andar - Consolação, São Paulo - SP, 01228-200, Brazil",5.0,5.0,+55 11 5904-0215,"pharmacy, health, store, point_of_interest, establishment",Google Places API,Orthopedic Implants Manufacturer Brazil
Orthofix do Brasil ltda,http://www.orthofix.it/br/,"Alameda Santos, 1978 - 16 andar - Jardim Paulista, São Paulo - SP, 01418-102, Brazil",4.5,13.0,+55 11 3087-2266,"point_of_interest, establishment",Google Places API,Orthopedic Implants Manufacturer Brazil
Max Surgical Comércio de Implantes Ortopédicos,http://maxsurgical.com.br/,"Av. 4, 1317 - Jardim Claret, Rio Claro - SP, 13503-230, Brazil",5.0,1.0,+55 19 3522-2550,"doctor, health, point_of_interest, establishment",Google Places API,Orthopedic Implants Manufacturer Brazil
IMPOL Instrumental e Implantes Ltda,http://www.impol.com.br/,"Av. Dr. Ulysses Guimarães, 3533 - Vila Nogueira, Diadema - SP, 09990-080, Brazil",4.5,11.0,+55 11 4070-6464,"health, point_of_interest, establishment",Google Places API,Orthopedic Implants Manufacturer Brazil
"Lefix Implants Comércio, Importação e Exportação de Produtos Médicos Hospitalares Ltda.",http://www.lefiximplants.com.br/,"Alameda Terracota, 185 - Salas 308 e 309 - Cerâmica, São Caetano do Sul - SP, 09531-190, Brazil",4.5,2.0,+55 11 4224-1817,"point_of_interest, establishment",Google Places API,Orthopedic Implants Manufacturer Brazil
Ortosintese Industry and Trade,https://www.ortosintese.com.br/,"Rua Professor Affonso José Fioravanti, 63 - Lot. City Jaragua, São Paulo - SP, 02998-010, Brazil",4.3,13.0,+55 11 3948-4000,"point_of_interest, establishment",Google Places API,Orthopedic Implants Manufacturer Brazil
Arthrex Do Brasil,https://www.arthrex.com/pt,"Av. Paulista, 2064/2086 - 10º andar - Edifício Paulista, São Paulo - SP, 01310-928, Brazil",4.7,22.0,+55 11 4130-8950,"health, point_of_interest, establishment",Google Places API,Orthopedic Implants Manufacturer Brazil
Dental JS Brasil - Produtos Odontológicos,http://www.jsdental.com.br/,"R. Schiller, 1060 - Alto da XV, Curitiba - PR, 80040-160, Brazil",5.0,49.0,+55 41 3076-7679,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Qualidental,http://www.qualidental.com.br/,"R. Jacarezinho, 734 - Mercês, Curitiba - PR, 80710-150, Brazil",5.0,10.0,+55 41 3319-9381,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Dental Curitibana,http://www.dentalcuritibana.com.br/,"Ritz Gallery - R. XV de Novembro, 172 - Lojas f,i,j,k - Centro, Curitiba - PR, 80020-310, Brazil",4.9,1047.0,+55 41 3322-0449,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Dental Paulista,http://www.dentalpaulista.com.br/,"Rua Anne Frank, 2803 - Boqueirão, Curitiba - PR, 81650-020, Brazil",4.5,39.0,+55 41 3222-2426,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Probimed - Manutenção e Venda de Equipamentos Médicos e Odontológicos,https://www.probimed.com.br/,"Rua Luiza Lélia Gulin Geronasso, 385 - frente - Boa Vista, Curitiba - PR, 82650-260, Brazil",5.0,90.0,+55 41 99633-6871,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Dental Med Sul Produtos Odontológicos,http://www.dentalmedsul.com.br/,"Complexo Administrativo - Rua Anne Frank, 5241 - Hauer, Curitiba - PR, 81730-010, Brazil",4.5,277.0,+55 800 941 2490,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Dental Marechal,http://dentalmarechal.com.br/contato/,"R. Mal. Deodoro, 500 - sala 151 - Centro, Curitiba - PR, 80010-010, Brazil",4.3,13.0,+55 41 3324-3058,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
A Dental Paraná Ltda,http://www.dentalparana.com.br/,"com estacionamento - Av. Pres. Getúlio Vargas, 2335 - Água Verde, Curitiba - PR, 80240-040, Brazil",5.0,7.0,+55 41 3408-3070,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Evident Dental - Produtos para Prótese Odontológica,http://www.evidentdental.com.br/,"R. Mal. Deodoro, 503 - Cj. 103 - 1º Andar - Centro, Curitiba - PR, 80020-320, Brazil",4.2,6.0,+55 41 3322-5069,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Odonto Personal - Revenda Olsen,http://www.odontopersonal.com.br/,"R. Dias da Rocha Filho, 620 - Alto da XV, Curitiba - PR, 80045-275, Brazil",5.0,22.0,+55 41 3019-9999,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
SDENTAL - Materiais e Equipamentos Odontológicos,https://sdental.com.br/,"R. Rio Paraná, 246 - sala 06 - Weissópolis, Pinhais - PR, 83322-000, Brazil",4.9,34.0,+55 41 99686-7108,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Loja Dental Prime,http://www.lojadentalprime.com.br/,"R. Osório Duque Estrada, 763 - Vargem Grande, Pinhais - PR, 83321-060, Brazil",4.6,21.0,+55 41 3012-0304,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Odonto Store,https://www.odontostorebr.com.br/,"R. Castro, 294 - Água Verde, Curitiba - PR, 80620-300, Brazil",5.0,9.0,+55 41 3010-3181,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Dental Laser Soluções Inteligentes,http://www.dentallaser.com.br/,"R. Fernando Amaro, 1060 - Alto da XV, Curitiba - PR, 80045-230, Brazil",5.0,2.0,+55 41 3027-3985,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Dental Cremer Lab,https://www.dentalcremer.com.br/laboratorio,"Torre 1 - Av. Anita Garibaldi, 850 - Cjto. 704 - Cabral, Curitiba - PR, 80540-180, Brazil",3.2,13.0,+55 800 727 0568,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
ODONTO LIMA ASSISTÊNCIA TÉCNICA,https://www.facebook.com/odontolimaat,"R. Conselheiro Dantas, 85 - Prado Velho, Curitiba - PR, 80220-190, Brazil",4.4,14.0,+55 41 3077-2537,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Odontomarcas Assistência Técnica Odontológica - Assistência de Equipamentos Odontológicos,,"R. Itupava, 559 - C1 - Alto da XV, Curitiba - PR, 80045-305, Brazil",3.1,8.0,+55 41 3264-9745,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
BNP Health Market,http://www.lojabnp.com.br/,"R. Brig. Franco, 3598 - Loja 01 - Água Verde, Curitiba - PR, 80250-042, Brazil",5.0,12.0,+55 41 3011-2337,"wholesaler, health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Dabi Atlante Curitiba | VASPJ Equipamentos,http://www.vaspj.com.br/,"Rua Visconde de Nácar, 72 - Mercês, Curitiba - PR, 80410-200, Brazil",3.0,2.0,+55 41 3538-2344,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Mastertec Assistência Técnica odontológica autorizada Dabi Atlante/Saevo,http://www.odontomastertec.com.br/,"Rua Aviador Armim Buhrer - 332 - Uberaba, Curitiba - PR, 81560-540, Brazil",5.0,6.0,+55 41 3501-3516,"health, point_of_interest, store, establishment",Google Places API,Dental Equipment Supplier Curitiba
Unitec Hospitalar,http://www.unitec-hospitalar.com.br/,"Av. Eng. Armando de Arruda Pereira, 1293 - Jabaquara, São Paulo - SP, 04309-010, Brazil",4.7,15.0,+55 11 5011-9291,"point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
ForteCare Indústria de Produtos Médicos LTDA,http://www.fortecare.com.br/,"Tv. Pedro Pok, 570 - Guaraituba, Colombo - PR, 83411-000, Brazil",4.4,15.0,+55 41 3888-4466,"health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Hartmann Indústria e Comércio de Produtos Médico-Hospitalares Ltda.,http://www.hartmann.com.br/,"Av. Dr. Eugênio Borges, 1410 - Arsenal, São Gonçalo - RJ, 24751-000, Brazil",5.0,11.0,+55 21 2199-7555,"store, health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Ingámed Produtos Médico Hospitalares Ltda,http://www.ingamed.com.br/,"Rod Eng. Osvaldo Pachêco de Lacerda, 720 - Parque Industrial, Maringá - PR, 87065-160, Brazil",5.0,8.0,+55 800 702 4650,"health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Biomedical Equipamentos e Produtos Médico-Cirúrgicos,http://www.bio.com.br/,"Av. Amador Aguiar, 1500 - Conj. City Jaragua, São Paulo - SP, 02998-020, Brazil",4.3,11.0,+55 11 3944-5555,"health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
JNS Produtos Médicos,https://jnsbrasil.com.br/?utm_source=google&utm_medium=organic&utm_campaign=gmb-info,"R. Pedro Alves, 158 - Santo Cristo, Rio de Janeiro - RJ, 20220-281, Brazil",5.0,250.0,+55 21 2233-6996,"store, health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Pratik Medical Comercio e Representação LTDA,http://www.pratikmedical.com.br/,"R. Campos Salles, 270 - Boa Vista, São José do Rio Preto - SP, 15025-600, Brazil",5.0,5.0,+55 17 3301-2001,"wholesaler, health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Seguard - Fabricação de Materiais Odonto Médico-Hospitalares Descartáveis,https://seguard.com.br/,"Rua 21 Qd 21 Lt23 - St. Mal. Rondon, Goiânia - GO, 74560-210, Brazil",,,+55 62 3251-0100,"store, health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Medika,https://www.medika.com.br/,"R. Aleomar Baleeiro, 15 - Centro, Lagoa Santa - MG, 33230-124, Brazil",4.8,22.0,+55 31 3688-1901,"health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Sterilex Científica,http://www.sterilex.com.br/,"R. Dr. João Batista de Lacerda, 168 - Quarta Parada, São Paulo - SP, 03177-010, Brazil",4.4,13.0,+55 11 2606-5349,"store, health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
BMR Medical Ltda,http://www.bmrmedical.com.br/,"Rod. BR 116, 1440 - Campo Fundo, Campina Grande do Sul - PR, 83430-000, Brazil",4.8,9.0,+55 41 3093-3900,"point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Promedix Produtos Medicos Hospitalares Ltda,http://medix.ind.br/,"R. Ana Maria, 39 - Serraria, Diadema - SP, 09981-470, Brazil",2.6,12.0,+55 11 2375-0331,"corporate_office, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Casa Médica,http://www.casamedica.com.br/,"R. Sen. Souza Naves, 1550 - Centro, Londrina - PR, 86010-160, Brazil",4.7,835.0,+55 43 3378-8888,"store, health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Cevi Med,http://www.cevimed.com/,"1351 Leavitt Ave S STE 102, Orange City, FL 32763, USA",4.5,428.0,+1 833-238-4633,"health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Engemed Equipamentos Médico Hospitalares,http://www.engemed.com/,"R. Jardelina de Almeida Lopes, 85 - Parque Santana, Mogi das Cruzes - SP, 08730-660, Brazil",,,+55 11 4722-4866,"health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Hospitalar Distribuidora,http://www.hospitalardistribuidora.com.br/,"R. Adílio Artoni, 46 - Jardim Petropolis, Pres. Prudente - SP, 19060-340, Brazil",4.1,19.0,+55 18 3221-2232,"store, health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Medix Produtos Hospitalares,http://medix.ind.br/index.html,"R. Orense, 41 - conjunto 1620 - Centro, Diadema - SP, 09920-650, Brazil",3.0,2.0,+55 11 2375-0331,"health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Efetive Produtos Medico Hospitalare,https://medicalprodutos.com.br/fale-conosco/,"R. das Carmelitas, 634 - Hauer, Curitiba - PR, 81610-070, Brazil",,,+55 41 3042-0997,"health, point_of_interest, establishment",Google Places API,Indústria de Materiais Médicos
Factory Instrumental Cirúrgico,http://www.factorycirurgico.com.br/,"R. Ambrosia do México, 392 - Jardim Cidade Pirituba, São Paulo - SP, 02945-040, Brazil",4.2,5.0,+55 11 3972-4847,"point_of_interest, establishment",Google Places API,Fabricante de instrumentos cirurgicos
Instrumed Instrumentos Cirúrgicos,,"R. Dos Lírios, 08 - Jd. Bela Vista, Mairiporã - SP, 07662-055, Brazil",5.0,1.0,+55 11 4280-6749,"point_of_interest, establishment",Google Places API,Fabricante de instrumentos cirurgicos
MEDNOX INSTRUMENTOS CIRÚRGICOS,,"R. Rio Madeira, 231 - Weissópolis, Pinhais - PR, 83322-340, Brazil",5.0,7.0,+55 41 3732-3527,"point_of_interest, establishment",Google Places API,Fabricante de instrumentos cirurgicos
Tab Instrumentos Cirúrgicos,http://www.tab-instrumentoscirurgicos.com.br/,"R. Conselheiro João Alfredo, 323 - Mooca, São Paulo - SP, 03106-060, Brazil",4.3,6.0,+55 11 2476-4147,"point_of_interest, establishment",Google Places API,Fabricante de instrumentos cirurgicos
Real Médica RJ,http://www.realmedica.com.br/,"Av. das Américas, 500 - Bloco 11 / 101 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-904, Brazil",5.0,83.0,+55 21 3329-3131,"health, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Leblon Med Produtos Médicos e Hospitalares. Sigvaris Salvape Mercur Omron,http://www.leblonmed.com.br/,"Edifício Cidade do Leblon - Av. Ataulfo de Paiva, 135 - Sala 903 - Leblon, Rio de Janeiro - RJ, 22440-032, Brazil",4.9,90.0,+55 21 98574-8277,"health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Clinrio Produtos Médico - Hospitalares.,http://www.clinrio.com.br/,"Av: Presidente Vargas, 590 - Sala: 510 - Centro, Rio de Janeiro - RJ, 20071-000, Brazil",4.1,30.0,+55 21 3983-3300,"health, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Casa do Médico - Produtos Hospitalares,https://www.casadomedico.com.br/?utm_source=Google&utm_medium=GMN&utm_campaign=GMN,"Av. Ayrton Senna, 1850 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-003, Brazil",4.7,685.0,+55 21 2430-3133,"shoe_store, health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Kmed a Serviço da Saude,,"R. Ubaldino do Amaral, 14 - Lapa, Rio de Janeiro - RJ, 20231-016, Brazil",4.5,14.0,+55 21 2507-1854,"health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
CA MEDICAL,http://www.camedical.com.br/,"R. Xavier da Silveira, 40 - loja D - Copacabana, Rio de Janeiro - RJ, 22061-010, Brazil",4.8,33.0,+55 21 98454-9740,"health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
PRODUTOS HOSPITALARES E ORTOPÉDICOS - ORTOFAWLER RIO DE JANEIRO,http://ortofawler.com.br/,"Av. Oliveira Belo, 683 - Loja B - Vila da Penha, Rio de Janeiro - RJ, 21221-300, Brazil",4.6,28.0,+55 21 97888-1596,"shoe_store, health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Medical Health Rio,http://www.medicalhealthrio.com.br/,"Av. José Silva de Azevedo Neto, 200 - Bloco 01/ Salas 401 e 402 - Escritório - Barra da Tijuca, Rio de Janeiro - RJ, 22775-056, Brazil",5.0,1.0,+55 21 2516-1177,"health, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Casa do Médico - Loja Oficial,https://www.casadomedicoipanema.com.br/,"R. Prudente de Morais, 167 - Ipanema, Rio de Janeiro - RJ, 22420-041, Brazil",4.8,472.0,+55 21 2522-0079,"wholesaler, health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
"AME Home Care | Barra da Tijuca. Aluguel e venda de material médico hospitalar. Cadeira de Rodas, Cama hospitalar, Andadores.",http://www.amerj.com.br/,"Av. Min. Ivan Lins, 480 - 101 - Barra da Tijuca, Rio de Janeiro - RJ, 22620-110, Brazil",4.8,72.0,+55 21 98059-0397,"health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Material Hospitalar,http://www.pracadomedico.com.br/,"Estr. dos Bandeirantes, 7879 - Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",2.8,17.0,+55 21 99685-4767,"health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Medical Mettler Material Médico,https://medicalmettler.orcamentoimediato.com.br/barra/,"Av. Ayrton Senna, 1850 - Loja T - Barra da Tijuca, Rio de Janeiro - RJ, 22775-003, Brazil",4.0,7.0,+55 21 97080-5965,"health, store, point_of_interest, establishment",Google Places API,Fabricante equipamentos médicos Rio de Janeiro
Dental Speed ​​Graph,https://www.dentalspeed.com/,"R. Sen. Carlos Gomes de Oliveira, 800 - Galpão 04 - Distrito Industrial, São José - SC, 88104-785, Brazil",4.2,207.0,+55 800 701 6870,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Santa Clara - Comércio de Produtos Odontológicos LTDA,http://www.dentalsantaclara.com.br/,"Ed Santa Clara - R. Augusto dos Anjos, 233 - Pio Corrêa, Criciúma - SC, 88811-560, Brazil",4.9,17.0,+55 48 3447-0300,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Dental Prótese Comércio de Materiais Odontológicos,https://www.dentalprotese.com.br/,"R. José Jaques, 96 - Centro, Florianópolis - SC, 88020-080, Brazil",5.0,12.0,+55 800 223 0400,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Dental Brod - Loja de Produtos Odontológicos,https://dentalbrod.com.br/,"R. Alfredo Marquardt, 107 - Saguaçu, Joinville - SC, 89221-290, Brazil",4.8,79.0,+55 47 3026-5547,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Olsen Indústria e Comércio,http://www.olsen.odo.br/,"CEIP | Centro Empresarial e Industrial - Rua Romalino João da Rosa - Jardim Eldorado, Palhoça - SC, 88133-516, Brazil",4.4,106.0,+55 48 2106-6000,"health, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Nova Dental Center Comércio de Materiais Odontológicos,https://www.novadentalcenter.com.br/,"Av. Mauro Ramos, 1533 - sl. 02 - Centro, Florianópolis - SC, 88020-302, Brazil",4.4,20.0,+55 48 3224-0579,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Odonto Dental - Produtos Odontológicos,http://www.odontodental.com.br/,"R. Humberto de Campos, 140 - Sala 2 - América, Joinville - SC, 89204-220, Brazil",5.0,5.0,+55 47 3013-1111,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Dental Fenix - Comércio de Material Odontológico,http://dentalfenix.com.br/,"R. São Paulo, 1698 - Itoupava Seca, Blumenau - SC, 89012-001, Brazil",4.3,33.0,+55 47 3326-2919,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
Dental LL Materiais Odontológicos,,"Av. Cel. Procópio Gomes, 548 - Bucarein, Joinville - SC, 89202-300, Brazil",4.4,49.0,+55 47 3028-9066,"health, store, point_of_interest, establishment",Google Places API,Indústria produtos odontológicos Santa Catarina
