Nome Empresa,Website,Address,Rating,Reviews,Phone,Types,Summary,Source,Search_Query,City_Scope,Keyword_Scope
RWR Industry and Equipment for Trade Eletromedicina,https://www.rwr.com.br/,"Av. do Taboão, 3417 - Vila Santa Luzia, São Bernardo do Campo - SP, 09656-000, Brazil",4.9,19.0,+55 11 3465-5400,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Cirúrgica Brasil,https://www.cirurgicabrasil.com.br/,"R. Joaquim Piza, 130 - Cambuci, São Paulo - SP, 01528-010, Brazil",5.0,4.0,+55 11 3207-1522,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Promedon São Paulo Produtos Médico Hospitalares,http://www.promedon.com/br,"Av. Guido Caloi, 1935 - Jardim São Luís, São Paulo - SP, 05802-140, Brazil",4.5,11.0,+55 11 3595-6777,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Medserv Suprimentos Médico Hospitalares,http://www.medserv-sp.com.br/,"R. Miosótis, 341 - Cidade Miramar, São Bernardo do Campo - SP, 09811-100, Brazil",5.0,27.0,+55 11 4352-3522,"wholesaler, health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
CNPH National Commercial Hospital Products,http://www.cnph.com.br/,"R. Gama Cerqueira, 331 - Cambuci, São Paulo - SP, 01539-010, Brazil",5.0,7.0,+55 11 3385-9339,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
MEDSIL INDUSTRIA E COMÉRCIO DE PRODUTOS MÉDICOS LTDA,http://www.medsil.com.br/,"R. Otávio Passos, 17 - Vila Gomes, São Paulo - SP, 05590-190, Brazil",5.0,1.0,+55 11 2659-3139,"health, point_of_interest, establishment",,Google Places Advanced,"Indústria de Materiais Hospitalares in São Paulo, SP","São Paulo, SP",Indústria de Materiais Hospitalares
Med-Sinal Produtos Veterinários,http://www.med-sinal.com.br/,"R. Roberto Koch, 644 - Vila Independencia, São Paulo - SP, 04221-060, Brazil",5.0,73.0,+55 11 96179-5689,"health, store, point_of_interest, establishment",,Google Places Advanced,"Indústria de Materiais Hospitalares in São Paulo, SP","São Paulo, SP",Indústria de Materiais Hospitalares
Life Cirúrgica,https://l.instagram.com/?u=https%3A%2F%2Fbit.ly%2Flifecirurgica&e=AT1CUTyCZ3IB7muC0Fng-cgA_jsMfoYPgj-YPl0MZsgGWnngPC5qEoKhMZcC4IMU6q1CloAW7uHIL1Vvl61jjflha8azuGfTLIfTUn0,"R. Borges Lagoa, 1027 - Vila Clementino, São Paulo - SP, 04038-032, Brazil",5.0,155.0,+55 11 3360-0075,"sporting_goods_store, health, store, point_of_interest, establishment",,Google Places Advanced,"Indústria de Materiais Hospitalares in São Paulo, SP","São Paulo, SP",Indústria de Materiais Hospitalares
Novatech Distribuidora Médica,,"R. Barata Ribeiro, 237 - Salas 52, 53 e 103 - Bela Vista, São Paulo - SP, 01313-001, Brazil",5.0,2.0,+55 11 3259-6508,"health, store, point_of_interest, establishment",,Google Places Advanced,"Indústria de Materiais Hospitalares in São Paulo, SP","São Paulo, SP",Indústria de Materiais Hospitalares
M e M Cirúrgica,http://www.memcirurgica.com.br/,"R. Prof. Gustavo Pires de Andrade, 869 - Parque da Vila Prudente, São Paulo - SP, 03140-010, Brazil",5.0,3.0,+55 11 5539-7557,"health, point_of_interest, establishment",,Google Places Advanced,"Indústria de Materiais Hospitalares in São Paulo, SP","São Paulo, SP",Indústria de Materiais Hospitalares
Dental Advance Dental Products,https://www.dentaladvance.com.br/,"Rua Da - R. Dona Antônia de Queirós, 549 - 5° andar - Consolação, São Paulo - SP, 01307-014, Brazil",4.9,213.0,+55 11 3231-0750,"beautician, dentist, doctor, health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Odonto Equipamentos,http://odontoequipamentos.com.br/,"R. Diogo Cabrera, 602 - Imirim, São Paulo - SP, 02467-060, Brazil",5.0,87.0,+55 11 95555-7463,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
ZLD - ZL Dental Produtos Odontológicos,https://www.zldental.com.br/,"R. da Mooca, 3225 - Mooca, São Paulo - SP, 03165-001, Brazil",4.9,70.0,+55 11 3539-1020,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Labordental Ltda.,http://www.labordental.com.br/,"Av. Aratãs, 164 - Indianópolis, São Paulo - SP, 04081-000, Brazil",4.3,20.0,+55 11 5542-5855,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dental Amefre,https://amefre.com.br/,"Av. Leôncio de Magalhães, 568 - Jardim São Paulo, São Paulo - SP, 02042-010, Brazil",4.9,64.0,+55 11 2283-5979,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
ICE Comércio Produtos Odontológicos,http://www.icevirtual.com.br/,"Av. Agenor Couto de Magalhães, 964 - Jardim Regina, São Paulo - SP, 05174-000, Brazil",5.0,31.0,+55 11 3906-1630,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Jon Industria e Comercio de Produtos Odontológicos,http://www.jon.com.br/,"R. Atuaí, 945 - Vila Esperança, São Paulo - SP, 03646-000, Brazil",4.0,4.0,+55 11 2681-2000,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dental Proclin,http://www.dentalproclin.com.br/,"R. Domingos Simões, 52 - Vila Suzana, São Paulo - SP, 05630-010, Brazil",5.0,122.0,+55 11 3740-7171,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dental Norte Comércio De Produtos Odontológicos,http://www.dentalnortesp.com.br/,"R. Salvador Bicudo, 100 - Tucuruvi, São Paulo - SP, 02307-250, Brazil",4.6,32.0,+55 11 2991-5600,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dental Oral Line,https://www.dentaloralline.com.br/,"R. Eng. José Valter Seng, 122 - Ferreira, São Paulo - SP, 05522-020, Brazil",4.9,77.0,+55 11 3815-3335,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
DENTAL FOCUS COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA EPP,https://linktr.ee/dentalfocusgallo,"R. Bacuriti, 159 - Parque Jaçatuba, Santo André - SP, 09291-140, Brazil",4.9,167.0,+55 11 4509-2284,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dental Stilo,http://www.dentalstilo.com.br/,"R. Melo Peixoto, 567 - Tatuapé, São Paulo - SP, 03070-000, Brazil",4.7,119.0,+55 11 2295-0202,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dental Progresso SP Produtos Odontológicos,http://www.dentalprogressosp.com.br/,"Av. Nova Cantareira, 2087 - Tucuruvi, São Paulo - SP, 02331-003, Brazil",5.0,3.0,+55 11 2476-3357,"corporate_office, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dental ABS,http://www.dentalabs.com.br/,"R. Ibirajá, 141 - Jabaquara, São Paulo - SP, 04310-020, Brazil",4.3,21.0,+55 11 5581-0975,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
ZN Dental,https://zndental.com.br/,"R. Salete, 87 - Santana, São Paulo - SP, 02016-000, Brazil",4.8,70.0,+55 11 2537-5141,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Wak's - Equipamentos Odontológicos,http://www.waks.com.br/,"R. Otávio Tarquínio de Sousa, 610 - Campo Belo, São Paulo - SP, 04613-002, Brazil",4.7,27.0,+55 11 5096-2453,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dental São Paulo Trade Products,http://www.dentalsaopaulo.com.br/,"R. Duarte de Azevedo, 284 - sala 64 - Santana, São Paulo - SP, 02036-020, Brazil",5.0,2.0,+55 11 94396-5763,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
DentalPró Materiais e Equipamentos para Próteses Odontológicas,https://www.instagram.com/dentalprosantana/,"R. Amaral Gama, 333 - Conj 63 - Santana, São Paulo - SP, 02018-000, Brazil",4.9,100.0,+55 11 99962-6298,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Dentalshop Brasil,http://www.dentalshop.com.br/,"Av. Dr. Sezefredo Azambuja Vieira, 101 - Mal. Rondon, Canoas - RS, 92020-020, Brazil",4.8,515.0,+55 51 3075-5400,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
SUPERDONT | Empresa Fabricante de Produtos Odontológicos,http://superdont.com.br/,"R. Vinte e Quatro de Maio, 325 - Riachuelo, Rio de Janeiro - RJ, 20950-090, Brazil",5.0,1.0,+55 21 2501-8634,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Produtos Odontológicos in São Paulo, SP","São Paulo, SP",Fabricante de Produtos Odontológicos
Implart,https://www.implart.com.br/,"R. Cincinato Braga, 37 - cj 112 - Bela Vista, São Paulo - SP, 01333-011, Brazil",4.8,257.0,+55 11 3262-4750,"dentist, dental_clinic, doctor, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Microplant Sistemas de Próteses,http://www.microplant.com.br/,"Avenida Coronel Sezefredo Fagundes, 452 (Fábrica Rua Carlos Gomes, 31 (Administrativo - Av. Cel. Sezefredo Fagundes, 452 - Tucuruvi, São Paulo - SP, 02306-001, Brazil",4.2,34.0,+55 11 2990-5533,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
S.I.N. - Matriz,https://www.sinimplantsystem.com.br/,"Av. Ver. Abel Ferreira, 2140 - Jardim Analia Franco, São Paulo - SP, 03340-000, Brazil",4.5,100.0,+55 800 770 8290,"dentist, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
EFF Dental Componentes | Lapa - São Paulo,https://effdental.com.br/,"R. John Harrison, 227 - Lapa, São Paulo - SP, 05074-080, Brazil",4.9,40.0,+55 11 3059-2200,"dentist, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
S.I.N. Implant System LTDA,,"R. Sd. Ocimar Guimarães da Silva, 440 - Vila Rio Branco, São Paulo - SP, 03348-060, Brazil",4.6,12.0,,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
NEODENT HUB,https://shop.straumann.com/neodent/br/pt_br,"Rua Cayowaá, 682 - Perdizes, São Paulo - SP, 05018-000, Brazil",2.7,7.0,+55 11 3728-2700,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
DPSOdonto,https://dpsodonto.com.br/,"Alameda Maruás, 235 - Planalto Paulista, São Paulo - SP, 04068-110, Brazil",5.0,2.0,+55 11 5071-8393,"point_of_interest, health, store, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Curso Implantes - CI Odontologia,https://cursoimplantes.com.br/,"R. Bela Vista, 590 - Chácara Santo Antônio, São Paulo - SP, 04709-001, Brazil",5.0,56.0,+55 11 99753-3611,"dental_clinic, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
MPolachini Odonto,http://mpolachini.com/,"R. Voluntários da Pátria, 560 - 1º andar sala 101 - Santana, São Paulo - SP, 02010-000, Brazil",5.0,4.0,+55 11 3467-9419,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Dental Ortho-Lipe,https://dentalortholipe.com.br/,"Rua Vergueiro, 3280 - Vila Mariana, São Paulo - SP, 04102-001, Brazil",5.0,239.0,+55 11 5539-3023,"dentist, doctor, point_of_interest, health, store, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Implant Brazil,,"Alameda dos Aicás, 1078 - Moema, São Paulo - SP, 04086-002, Brazil",4.7,67.0,+55 11 5532-1013,"dental_clinic, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Dentoflex M Commerce Industry,https://dentoflex.com.br/,"R. Marquês Maricá, 1230 - Sacomã, São Paulo - SP, 04252-000, Brazil",3.7,30.0,+55 11 2083-4130,"dentist, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Implacil Osstem - Unidade Tamboré,https://implacil.com.br/,"Alameda Europa, 1225 - Colinas da Anhanguera, Santana de Parnaíba - SP, 06543-306, Brazil",4.6,19.0,+55 11 3342-5175,"corporate_office, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Titaniumfix,https://www.titaniumfix.com/,"R. Profa. Ana Isabel Barbosa, 207 - Jardim Diamante, São José dos Campos - SP, 12223-180, Brazil",4.4,14.0,+55 12 3929-5504,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Altera Odontologia - Clínica Odontológica em São Paulo,https://alteraodonto.com.br/,"Avenida das Cerejeiras, 571 Jd. Japão - Vila Maria - Zona Norte, São Paulo - SP, 02124-000, Brazil",5.0,588.0,+55 11 96978-0843,"dentist, doctor, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Minas Med Indústria e Comércio de Fixadores e Implantes LTDA.,http://www.minasmed.com.br/empresa.php,"R. Pacaembu, 669 - Jardim Itatinga, Campinas - SP, 13052-440, Brazil",5.0,3.0,+55 19 3225-9320,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Ortopédicos in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Ortopédicos
TechImport Tecnologia em Implantes Ortopédicos,http://www.techimportimplantes.com.br/,"Rodovia Washington Luís, Km 172 - Condomínio Conpark S, Rua 6 - Jardim Anhangüera, Rio Claro - SP, 13501-600, Brazil",4.3,32.0,+55 19 3522-9500,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Ortopédicos in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Ortopédicos
Iomed Ortopedia Especializada LTDA,http://www.iomed.com.br/,"Rua Itagyba Santiago, 228 - Vila Alexandria, São Paulo - SP, 04635-050, Brazil",4.6,25.0,+55 11 5035-5353,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Ortopédicos in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Ortopédicos
Medvie Implantes Ortopédicos,https://www.medvie.com.br/,"Rua Niterói, 362 Conjunto: 16 - Centro, São Caetano do Sul - SP, 09510-200, Brazil",5.0,2.0,+55 11 94247-2843,"doctor, health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Ortopédicos in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Ortopédicos
MB Osteos,http://mbsp.com.br/,"R. Arizona, 1426 - Cidade Monções, São Paulo - SP, 04567-003, Brazil",4.7,11.0,+55 11 3386-2525,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Ortopédicos in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Ortopédicos
Ortomedic Produtos Médicos,http://www.ortomedic.com.br/,"R. Silva Jardim, 187 - 7º andar - Centro, São Bernardo do Campo - SP, 09715-090, Brazil",4.9,16.0,+55 11 4123-9711,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Ortopédicos in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Ortopédicos
ABC Surgical Instruments,http://www.abcinstrumentos.com.br/,"Estr. das Lágrimas, 3350 - São João Climaco, São Paulo - SP, 04244-000, Brazil",4.8,63.0,+55 11 2353-4000,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Ascamas Instrumentais Cirúrgicos,https://ascamas.lojavirtualnuvem.com.br/,"R. Maj. Sertório, 349 - 6D - Vila Buarque, São Paulo - SP, 01222-001, Brazil",5.0,10.0,+55 11 4570-1103,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
UPMED FABRICAÇÃO DE INSTRUMENTAIS CIRÚRGICOS LTDA,http://www.upmed.net.br/,"Av. Vila Ema, 386 - Vila Prudente, São Paulo - SP, 03156-000, Brazil",4.7,7.0,+55 11 2667-0544,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Instrumed Instrumentos Cirúrgicos,,"R. Dos Lírios, 08 - Jd. Bela Vista, Mairiporã - SP, 07662-055, Brazil",5.0,1.0,+55 11 4280-6749,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
SP Cirúrgicos - Manutenção De Instrumentais Cirúrgicos,http://spcirurgicos.com.br/,"R. Ioneji Matsubayashi, 446 - Jardim colonial, São Paulo - SP, 08260-050, Brazil",5.0,4.0,+55 11 2691-9590,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Cânulas Pro,http://www.canulaspro.com.br/,"Av. Vila Ema, 392 - Vila Prudente, São Paulo - SP, 03156-000, Brazil",5.0,21.0,+55 11 2362-4072,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Randmed - Manutenção de Instrumentos Cirurgicos,http://www.randmed.com.br/,"R. Carandaí, 382 - Casa Verde, São Paulo - SP, 02516-020, Brazil",5.0,4.0,+55 11 3966-0524,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Incol Instrumentos Cirúrgicos,https://incolinstrumentos.com/,"Av. Bento da Silva Bueno - Parque Paraíso, São Paulo - SP, 07794-105, Brazil",4.7,3.0,+55 11 3906-9270,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Fradel Med Ind Com Ap Médicos Ltda ME,http://www.fradel-med.com.br/,"Rua Tenente Américo Moretti, 579 - Vila Santa Catarina, São Paulo - SP, 04372-062, Brazil",5.0,14.0,+55 11 5562-3541,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Macom Surgical Ltda,http://www.macominstrumental.com.br/,"Ferreira Fernandes - Av. João Bassi, 572 - Parque Industrial, Guarulhos - SP, 07172-440, Brazil",5.0,14.0,+55 11 2431-4636,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Cirúrgica Marcelina,https://www.cirurgicamarcelina.com.br/,"R. Harry Dannenberg, 442 - Vila Carmosina, Jardim - SP, 08270-010, Brazil",4.0,84.0,+55 11 2521-5188,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
"BR Cirúrgica Móveis Hospitalares,Equipamentos Hospitalares e Instrumento Cirurgico",https://www.brcirurgica.com.br/,"Av. Paulista, 1636 - Cerqueira César, São Paulo - SP, 01310-200, Brazil",2.5,24.0,+55 11 2924-9414,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Richter Ltda,http://www.richter.com.br/,"R. Boaventura Pereira, 145 - Parque Anhanguera, São Paulo - SP, 05158-100, Brazil",4.3,4.0,+55 11 3908-7000,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Cirar Instrumental Cirúrgico,http://www.cirar.com.br/,"R. Haroldo Pacheco e Silva, 106 - Vila Ipojuca, São Paulo - SP, 05055-030, Brazil",,,+55 11 3871-1112,"health, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Starlet Instrumentos de Precisão,http://www.starlet.com.br/,"Av. Eng. Caetano Álvares, 6610 - Imirim, São Paulo - SP, 02413-200, Brazil",5.0,1.0,+55 11 2973-5873,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Protetics - Próteses e Órteses,http://www.protetics.com.br/,"R. Padre Estevão Pernet, 385 - Vila Gomes Cardim, São Paulo - SP, 03315-000, Brazil",4.8,43.0,+55 11 4327-5343,"physiotherapist, health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Próteses in São Paulo, SP","São Paulo, SP",Fabricante de Próteses
