Company,Website,Lead_Score,Email,Decision_Maker,Employees,Years_Active,City,State,FDA_Certified,CE_Certified,Products,LinkedIn_Company,Perplexity_Segment,Perplexity_City,Perplexity_State,Perplexity_Decision_Makers,Perplexity_Notes,Status,Nome Empresa,Address,Phone,Source,Predicted_Score,V2_Score,Renner_Score,Enrichment_Status,Scraped_Emails,Decision_Makers_Deep,LinkedIn_Person,Confidence_Score
Luimed Distribuidora,http://luimed.com.br/,6.0,comercial@luimed.com.br,Gabriela Correa - Former Executive (related to Luimed Distribuidora),0,18,,,True,False,,,,,,,,New Lead,Luimed Distribuidora,"Rua Willis Roberto Banks, 487 - Parque Maria Domitila, São Paulo - SP, 05128-000, Brazil",55 11 3977-1777,Google Places API,4.5,4.5,0.0,Complete,vendas@luimed.com.br,,,80
BS Medical Distribuidora Médico Hospitalar LTDA,http://bsmedical.com.br/,6.0,distribuidora@bsmedical.com.br,Information not publicly available from provided search results,0,5,,,True,False,,,,,,,,New Lead,BS Medical Distribuidora Médico Hospitalar LTDA,"R. Dr. Américo Figueiredo, 1367 - Jardim Simus, Sorocaba - SP, 18055-132, Brazil",55 15 3318-5781,Google Places API,4.5,4.5,0.0,Complete,distribuidora@bsmedical.com.br,,,80
OdontoCompany Schroeder,https://linktr.ee/odontocompany_schroeder,7.0,info@linktr.ee,Diego Nakagawa - CMO,7,18,,,True,False,,https://www.linkedin.com/company/nacional-ossos-europe/,,,,,,New Lead,OdontoCompany Schroeder,"R. Mal. Castelo Branco, 3246 - Sl 03 - Centro, Schroeder - SC, 89275-000, Brazil",55 47 99651-0116,Google Places API,4.5,4.5,0.0,Complete,,,,80
OdontoCompany Blumenau - Itoupava,http://linktr.ee/odontocompany_itoupava,6.0,info@linktr.ee,Marcello Farrel - CEO,0,18,,,True,False,,,,,,,,New Lead,OdontoCompany Blumenau - Itoupava,"Rua Dr. Pedro Zimmermann, 6273 - sala 1 - Itoupava Central, Blumenau - SC, 89068-001, Brazil",55 47 99172-5354,Google Places API,4.5,4.5,0.0,Complete,,,,80
MKS Medical Technologies - Materiais Médicos,https://www.mksmed.com.br/,7.0,contato@mksmed.com.br,Marcos Kaufmann Scholz - Founder and CEO,0,0,,,True,False,,,,,,,,New Lead,MKS Medical Technologies - Materiais Médicos,"Av. Carlos Gomes, 466 - sala 1001 - Auxiliadora, Porto Alegre - RS, 90480-003, Brazil",55 51 3779-2074,Google Places API,4.5,4.5,0.0,Complete,contato@mksmed.com.br,,,80
"LíderMed Produtos e Serviços - Venda e manutenção de equipamentos médicos, odontológicos e laboratoriais.",http://www.lidermed.poa.br/,6.0,atendimento@lidermed.poa.br,CEO da LíderMed - CEO,0,0,,,True,False,,,,,,,,New Lead,"LíderMed Produtos e Serviços - Venda e manutenção de equipamentos médicos, odontológicos e laboratoriais.","R. Ouro Preto, 722 - Jardim Floresta, Porto Alegre - RS, 91040-610, Brazil",55 51 2312-5555,Google Places API,4.5,4.5,0.0,Complete,atendimento@lidermed.poa.br,,,80
Spine Implantes Importação e Exportação,http://www.spineimplantes.com.br/,4.0,comercial@spineimplantes.com.br,Not available - Not publicly disclosed,0,25,,,False,False,,,,,,,,New Lead,Spine Implantes Importação e Exportação,"R. 27, 1886 - Jardim Mirassol, Rio Claro - SP, 13503-140, Brazil",55 19 3522-2260,Google Places API,4.5,4.5,0.0,Complete,comercial@spineimplantes.com.br,,,70
Zimmer Biomet Brasil (Ortopedia),http://www.zimmerbiomet.com.br/,4.0,comercial@www.zimmerbiomet.com.br,"Ivan Tornos - Chairman, President and Chief Executive Officer",0,0,,,False,False,,https://www.linkedin.com/company/zimmer-biomet/,,,,,,New Lead,Zimmer Biomet Brasil (Ortopedia),"Rua Machado Bitencourt, 361 - Vila Clementino, São Paulo - SP, 04044-001, Brazil",55 11 3568-1316,Google Places API,4.5,4.5,0.0,Complete,,,,70
Implacil Osstem,https://www.implacil.com.br/,7.0,sac@implacil.com.br,Aluizio Canto - CEO; Kevin Lee - Co-CEO,369,42,,,False,False,,https://www.linkedin.com/company/implacil-osstem/,,,,,,New Lead,Implacil Osstem,"R. Cesário Ramalho, 821 - Cambuci, São Paulo - SP, 01515-000, Brazil",55 11 3342-5100,Google Places API,4.5,4.5,0.0,Complete,sac@implacil.com.br,,,80
Bioteck Orthopedic Implants,https://www.bioteckimplants.com/,7.0,info@www.bioteckimplants.com,Shweta Patel - CEO,30,0,,,True,False,,https://www.linkedin.com/company/bioteck-industria-e-comercio-de-imoprtacao-eexportacao-de-implantes/,,,,,,New Lead,Bioteck Orthopedic Implants,"R. Dra. Maria Augusta Generoso Estrela, 1060 - Rubem Berta, Porto Alegre - RS, 91180-200, Brazil",55 51 3272-2000,Google Places API,4.5,4.5,0.0,Complete,,,,80
Stryker Brasil,http://www.stryker.com.br/,6.0,sales@www.stryker.com.br,Kevin Lobo (presidente),0,0,,,False,False,,,,,,,,New Lead,Stryker Brasil,"Rua Urussuí, 300 - 8º andar - Itaim Bibi, São Paulo - SP, 04542-050, Brazil",55 11 5189-2500,Google Places API,4.5,4.5,0.0,Complete,,"[{""name"": ""Kevin Lobo"", ""title"": ""presidente"", ""confidence"": ""high""}]",,80
Radiomed Comércio Importação EIRELI,http://www.radiomed.med.br/,4.0,atendimento@radiomed.med.br,Roberto Beltran - CEO,0,0,,,False,False,,,,,,,,New Lead,Radiomed Comércio Importação EIRELI,"Alameda Lorena, 1304 - Jardim Paulista, São Paulo - SP, 01424-004, Brazil",55 11 3885-2166,Google Places API,4.5,4.5,0.0,Complete,atendimento@radiomed.med.br,,,70
GAMEZI Dispositivos Médicos,http://www.gamezi.com.br/,4.0,contato@www.gamezi.com.br,Giovanna Gallo - CEO-Sócia - Diretora | Novos Negócios; Marcia Cristina Biroli - Sócio-Administrador,0,30,,,False,False,,,,,,,,New Lead,GAMEZI Dispositivos Médicos,"R. Jaboatão, 620 - Casa Verde, São Paulo - SP, 02516-010, Brazil",55 11 3855-4050,Google Places API,4.5,4.5,0.0,Complete,,,,70
Hospfar Industria e Comércio de Produtos Hospitalares SA,http://www.hospfar.com.br/,3.0,,Diretor Superintendente (Diretor),0,30,,,False,False,,,,,,,,New Lead,Hospfar Industria e Comércio de Produtos Hospitalares SA,"R. 3, 975 - St. Morais, Goiânia - GO, 74620-385, Brazil",55 62 3269-3500,Google Places API,4.5,4.5,0.0,Complete,,"[{""name"": ""Diretor Superintendente"", ""title"": ""Diretor"", ""confidence"": ""high""}]",,80
Loja Dental Prime,http://www.lojadentalprime.com.br/,4.0,vendas@dentalprimecwb.com.br,,0,2,,,False,False,,,,,,,,New Lead,Loja Dental Prime,"R. Osório Duque Estrada, 763 - Vargem Grande, Pinhais - PR, 83321-060, Brazil",55 41 3012-0304,Google Places API,4.5,4.5,0.0,Complete,vendas@dentalprimecwb.com.br,,,70
Nova Dental Center Comércio de Materiais Odontológicos,https://www.novadentalcenter.com.br/,7.0,atendimento@novadentalcenter.com.br,,0,2,,,True,False,,,,,,,,New Lead,Nova Dental Center Comércio de Materiais Odontológicos,"Av. Mauro Ramos, 1533 - sl. 02 - Centro, Florianópolis - SC, 88020-302, Brazil",55 48 3224-0579,Google Places API,4.5,4.5,0.0,Complete,atendimento@novadentalcenter.com.br,,,80
Ingámed Produtos Médico Hospitalares Ltda,http://www.ingamed.com.br/,4.0,vendas@www.ingamed.com.br,,0,25,,,False,False,,,,,,,,New Lead,Ingámed Produtos Médico Hospitalares Ltda,"Rod Eng. Osvaldo Pachêco de Lacerda, 720 - Parque Industrial, Maringá - PR, 87065-160, Brazil",55 800 702 4650,Google Places API,4.5,4.5,0.0,Complete,,,,70
Medika,https://www.medika.com.br/,5.0,contato@medika.com.br,,0,30,,,False,False,,,,,,,,New Lead,Medika,"R. Aleomar Baleeiro, 15 - Centro, Lagoa Santa - MG, 33230-124, Brazil",55 31 3688-1901,Google Places API,4.5,4.5,0.0,Complete,contato@medika.com.br,,,70
Medical Health Rio,http://www.medicalhealthrio.com.br/,4.0,comercial@medicalhealthrio.com.br,,0,30,,,False,False,,,,,,,,New Lead,Medical Health Rio,"Av. José Silva de Azevedo Neto, 200 - Bloco 01/ Salas 401 e 402 - Escritório - Barra da Tijuca, Rio de Janeiro - RJ, 22775-056, Brazil",55 21 2516-1177,Google Places API,4.5,4.5,0.0,Complete,comercial@medicalhealthrio.com.br,,,70
"AME Home Care | Barra da Tijuca. Aluguel e venda de material médico hospitalar. Cadeira de Rodas, Cama hospitalar, Andadores.",http://www.amerj.com.br/,4.0,contato@amerj.com.br,,0,70,,,False,False,,,,,,,,New Lead,"AME Home Care | Barra da Tijuca. Aluguel e venda de material médico hospitalar. Cadeira de Rodas, Cama hospitalar, Andadores.","Av. Min. Ivan Lins, 480 - 101 - Barra da Tijuca, Rio de Janeiro - RJ, 22620-110, Brazil",55 21 98059-0397,Google Places API,4.5,4.5,0.0,Complete,contato@amerj.com.br,,,70
Dental Brod - Loja de Produtos Odontológicos,https://dentalbrod.com.br/,5.0,gerencia@dentalbrod.com.br,,0,3,,,False,False,,,,,,,,New Lead,Dental Brod - Loja de Produtos Odontológicos,"R. Alfredo Marquardt, 107 - Saguaçu, Joinville - SC, 89221-290, Brazil",55 47 3026-5547,Google Places API,4.5,4.5,0.0,Complete,vendas05@dentalbrod.com.br,,,70
Farmatex do Brasil | Importação e Distribuição de Produtos Hospitalares,http://www.farmatex.com.br/,6.0,sac@farmatex.com.br,,0,0,,,True,False,,,,,,,,New Lead,Farmatex do Brasil | Importação e Distribuição de Produtos Hospitalares,"Rua Roberto Ozório de Almeida, 1010 - Cidade Industrial de Curitiba, Curitiba - PR, 81460-110, Brazil",55 41 3078-7760,Google Places API,4.5,4.5,0.0,Complete,comercial@farmatex.com.br,,,80
IMPOL Instrumental e Implantes Ltda,http://www.impol.com.br/,4.0,impol@impol.com.br,,88,50,,,False,False,,https://www.linkedin.com/company/impol-instrumental-e-implantes-ltda/,,,,,,New Lead,IMPOL Instrumental e Implantes Ltda,"Av. Dr. Ulysses Guimarães, 3533 - Vila Nogueira, Diadema - SP, 09990-080, Brazil",55 11 4070-6464,Google Places API,4.5,4.5,0.0,Complete,impol@impol.com.br,,,70
Dental Paulista,http://www.dentalpaulista.com.br/,4.0,contato@dentalpaulista.com.br,,0,0,,,False,False,,,,,,,,New Lead,Dental Paulista,"Rua Anne Frank, 2803 - Boqueirão, Curitiba - PR, 81650-020, Brazil",55 41 3222-2426,Google Places API,4.5,4.5,0.0,Complete,contato@dentalpaulista.com.br,,,70
Oxigen,http://www.oxigenind.com.br/,6.0,vendas@www.oxigenind.com.br,,0,0,,,True,False,,,,,,,,New Lead,Oxigen,"R. Redenção, 44 - Chácara Tatuapé, São Paulo - SP, 03060-010, Brazil",55 11 2696-0010,Google Places API,4.5,4.5,0.0,Complete,vendas@oxigenind.com.br,,,80
5S - Sistemas Médicos,http://5s.med.br/,4.0,contato@5s.med.br,,0,20,,,False,False,,,,,,,,New Lead,5S - Sistemas Médicos,"Av. Angélica, 927 - 11º andar - Santa Cecilia, São Paulo - SP, 01227-000, Brazil",55 11 3826-8826,Google Places API,4.5,4.5,0.0,Complete,contato@5s.med.br,,,70
Distrib Johnson de Material Médico e Hospitalar,http://www.johnsonrp.com.br/,4.0,vendas@www.johnsonrp.com.br,Jefferson de Oliveira Filho - Owner,0,0,"Ribeirão Preto, SP",SP,False,False,,,,,,,,New Lead,Distrib Johnson de Material Médico e Hospitalar,"Av. do Café, 1370 - Vila Tiberio, Ribeirão Preto - SP, 14050-220, Brazil",55 16 3234-0628,Google Places Advanced,4.0,4.0,0.0,Pending,jefferson@johnsonrp.com.br,,,70
Dental Implant Technologies,https://dit-usa.com/,4.0,contact@dit-usa.com,Christopher Ostrovski - President and CEO,0,7,,,False,False,,,,,,,,New Lead,Dental Implant Technologies,"9414 E San Salvador Dr #112, Scottsdale, AZ 85258, USA",1 800-452-0582,Google Places API,3.5,3.5,0.0,Complete,,,,70
KARL STORZ Endoscopia Brasil Ltda.,https://www.karlstorz.com/,8.0,comercial@www.karlstorz.com,"Christian Storz (CEO), Managing Director Sybill Storz (Director)",0,80,,,False,False,,,,,,,,New Lead,KARL STORZ Endoscopia Brasil Ltda.,"Av. Dr. Chucri Zaidan, 1240 - 12º andar - Vila Sao Francisco (Zona Sul), São Paulo - SP, 04711-130, Brazil",55 11 3526-4600,Google Places API,3.5,3.5,0.0,Complete,,"[{""name"": ""Managing Director Sybill Storz"", ""title"": ""Director"", ""confidence"": ""high""}, {""name"": ""Christian Storz"", ""title"": ""CEO"", ""confidence"": ""high""}]",,80
3Shape Brazil,https://www.3shape.com/,10.0,info@www.3shape.com,"Vice Chairman (Co-Founder), Senior Vice President (President)",0,0,,,True,False,,,,,,,,New Lead,3Shape Brazil,"Av. das Nações Unidas, 12.399 - cj.101B - Cidade Monções, São Paulo - SP, 04758-000, Brazil",55 11 3596-3879,Google Places API,3.5,3.5,0.0,Complete,support@3shape.com,"[{""name"": ""Partner Portal"", ""title"": ""Partner"", ""confidence"": ""high""}, {""name"": ""Chief Executive Officer"", ""title"": ""Chief Executive Officer"", ""confidence"": ""high""}, {""name"": ""Chief Financial Officer"", ""title"": ""Chief Financial Officer"", ""confidence"": ""high""}, {""name"": ""Chief Technology Officer"", ""title"": ""Chief Technology Officer"", ""confidence"": ""high""}, {""name"": ""Senior Vice President"", ""title"": ""President"", ""confidence"": ""high""}, {""name"": ""Chief Commercial Officer"", ""title"": ""Chief Commercial Officer"", ""confidence"": ""high""}, {""name"": ""Vice President Legal"", ""title"": ""President"", ""confidence"": ""high""}, {""name"": ""Vice President"", ""title"": ""President"", ""confidence"": ""high""}, {""name"": ""Vice Chairman"", ""title"": ""Co-Founder"", ""confidence"": ""high""}]",,90
Material Hospitalar,http://www.pracadomedico.com.br/,6.0,pracadomedico@gmail.com,Leonardo Almeida Byrro - Chief Executive Officer; Mario Sergio Ayres Cunha Ribeiro - Chairman,0,0,,,True,False,,,,,,,,New Lead,Material Hospitalar,"Estr. dos Bandeirantes, 7879 - Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",55 21 99685-4767,Google Places API,3.5,3.5,0.0,Complete,pracadomedico@gmail.com,,,80
Distribuidora BRASIL,http://www.distribuidorabrasilmed.com.br/,4.0,sac@distbrasil.net,Wilson Ferreira Jr - CEO,0,0,,,False,False,,https://www.linkedin.com/company/br-distribuidora/,,,,,,New Lead,Distribuidora BRASIL,"Rua MP 06, Qd 16-A Lote 01 304 - Residencial Marília, Sen. Canedo - GO, 75250-000, Brazil",55 62 3565-1600,Google Places API,3.5,3.5,0.0,Complete,sac@distbrasil.net,,,70
Olsen Indústria e Comércio,http://www.olsen.odo.br/,7.0,contato@olsen.odo.br,"Elisa Olsen (presidente), Elisa Olsen (fundador)",0,0,,,False,False,,,,,,,,New Lead,Olsen Indústria e Comércio,"CEIP | Centro Empresarial e Industrial - Rua Romalino João da Rosa - Jardim Eldorado, Palhoça - SC, 88133-516, Brazil",55 48 2106-6000,Google Places API,3.5,3.5,0.0,Complete,comercial@olsen.odo.br,"[{""name"": ""Elisa Olsen"", ""title"": ""Vice-presidente"", ""confidence"": ""high""}, {""name"": ""Presidente Cesar Olsen"", ""title"": ""fundador"", ""confidence"": ""high""}, {""name"": ""Jornada Acadêmica"", ""title"": ""fundador"", ""confidence"": ""medium""}]",,80
Sterilex Científica,http://www.sterilex.com.br/,4.0,marketing@sterilex.com.br,Eduardo Guimaraes - CEO,0,24,,,False,False,,https://www.linkedin.com/company/sterilex/,,,,,,New Lead,Sterilex Científica,"R. Dr. João Batista de Lacerda, 168 - Quarta Parada, São Paulo - SP, 03177-010, Brazil",55 11 2606-5349,Google Places API,3.5,3.5,0.0,Complete,sterilex@sterilex.com.br,,,70
Ótima,http://otimaindustria.com.br/,4.0,comercial@otimaindustria.com.br,"Information not found - No publicly available data on CEO, Owner, Director, or Manager for Ótima in Nan, Brazil was found in the search results or on the website provided.",0,0,,,False,False,,,,,,,,New Lead,Ótima,"Av. Maria Servidei Demarchi, 2405 – São Bernardo do Campo / SP – CEP: - Demarchi, São Bernardo do Campo - SP, 09820-000, Brazil",55 11 2897-5200,Google Places API,3.5,3.5,0.0,Complete,comercial@otimaindustria.com.br,,,70
Premium Medical Soluções em Imagem,http://www.premiumortopedia.com.br/,4.0,sac@www.premiumortopedia.com.br,Marcos Vieira dos Santos - Administrator; Paulo Cesar Garcia Guedes - Administrator,0,0,,,False,False,,,,,,,,New Lead,Premium Medical Soluções em Imagem,"R. Dr. Abelardo Vergueiro César, 526 - Vila Alexandria, São Paulo - SP, 04635-080, Brazil",55 11 94143-8840,Google Places API,3.5,3.5,0.0,Complete,,,,70
Easelabs Indústria Farmacêutica,https://easelabspharma.com.br/,8.0,contato@easelabspharma.com.br,"Ease Labs (Diretor), Selfit Academias (Fundador)",0,0,,,False,False,,,,,,,,New Lead,Easelabs Indústria Farmacêutica,"Av. Waldomiro Lobo, 641 - São Bernardo, Belo Horizonte - MG, 31814-620, Brazil",55 800 301 5489,Google Places API,3.5,3.5,0.0,Complete,comercial@easelabs.com.br%20,"[{""name"": ""Fundador e Co"", ""title"": ""Fundador"", ""confidence"": ""high""}, {""name"": ""Ease Labs"", ""title"": ""Fundador"", ""confidence"": ""high""}, {""name"": ""Fundador e Co"", ""title"": ""Fundador"", ""confidence"": ""high""}, {""name"": ""Fundador da Selfit Academias"", ""title"": ""Fundador"", ""confidence"": ""high""}, {""name"": ""Oral Unic"", ""title"": ""COO"", ""confidence"": ""high""}, {""name"": ""Diretor de Marketing"", ""title"": ""Diretor"", ""confidence"": ""high""}, {""name"": ""Product Manager"", ""title"": ""Diretor"", ""confidence"": ""medium""}, {""name"": ""Janssen e Novartis"", ""title"": ""Diretor"", ""confidence"": ""medium""}]",,80
Ortosintese | Divisão Ortopedia,http://www.ortosintese.com.br/,4.0,ortosintese@ortosintese.com.br,Ricardo Barcellos - CEO,265,0,,,False,False,,https://www.linkedin.com/company/ortosintese/,,,,,,New Lead,Ortosintese | Divisão Ortopedia,"Av. Nelson Palma Travassos, 651 - Lot. City Jaragua, São Paulo - SP, 02998-000, Brazil",55 11 3948-4000,Google Places API,3.5,3.5,0.0,Complete,ortosintese@ortosintese.com.br,,,70
Vivare Consultórios Integrados,https://www.vivareconsultorios.com.br/,7.0,sales@www.vivareconsultorios.com.br,Sabrina Bispo Pereira - Sócio-Administrador,0,0,,,True,False,,,,,,,,New Lead,Vivare Consultórios Integrados,"R. Arthur Max Doose, 153 - SL 802 - Pioneiros, Balneário Camboriú - SC, 88331-085, Brazil",55 47 99284-7000,Google Places API,3.5,3.5,0.0,Complete,exemplo@meusite.com,,,80
Saga Medição,http://sagamedicao.com.br/,4.0,contato@sagamedicao.com.br,Brandon Copperfield - Founder & CEO,0,0,,,False,False,,,,,,,,New Lead,Saga Medição,"Rodovia BR 135 Nº 1456 - Quadra 02 - Bocaiúva, MG, 39390-000, Brazil",55 38 3251-1666,Google Places API,3.5,3.5,0.0,Complete,contato@sagamedicao.com.br,,,70
Dental Cremer Lab,https://www.dentalcremer.com.br/laboratorio,5.0,insidesales@dentalcremer.com.br,Paulo Batista - Chief Executive Officer / Managing Director,0,70,,,False,False,,https://www.linkedin.com/company/dental-cremer/,,,,,,New Lead,Dental Cremer Lab,"Torre 1 - Av. Anita Garibaldi, 850 - Cjto. 704 - Cabral, Curitiba - PR, 80540-180, Brazil",55 800 727 0568,Google Places API,3.5,3.5,0.0,Complete,lojavirtual@dentalcremer.com.br,,,70
DSP Biomedical,https://dspbiomedical.com/,5.0,info@dspbiomedical.com,Yoni Tserruya - Co-Founder & CEO; Célio Netzel - Diretor,0,25,,,False,False,,https://www.linkedin.com/company/dspbiomedical/,,,,,,New Lead,DSP Biomedical,"R. Mal. Floriano Peixoto, 303 - Ouro Verde II, Campo Largo - PR, 83606-200, Brazil",55 800 600 8866,Google Places API,3.5,3.5,0.0,Complete,,,,70
Biomedical Equipamentos e Produtos Médico-Cirúrgicos,http://www.bio.com.br/,4.0,vendas@bio.com.br,Bernardo Lopes Machado - Presidente (CEO); Marcos Tadeu Machado - Diretor,0,45,,,False,False,,,,,,,,New Lead,Biomedical Equipamentos e Produtos Médico-Cirúrgicos,"Av. Amador Aguiar, 1500 - Conj. City Jaragua, São Paulo - SP, 02998-020, Brazil",55 11 3944-5555,Google Places API,3.5,3.5,0.0,Complete,vendas@bio.com.br,,,70
Globomedical Implantes Médicos Importados,https://www.globomedical.com.br/,2.0,,Nelio Barral - Most senior identified person (job title not explicitly stated),21,20,,,False,False,,https://www.linkedin.com/company/globomedical-produtos-m-dicos-ltda/,,,,,,New Lead,Globomedical Implantes Médicos Importados,"Rua Lincoln Albuquerque, 259 - Perdizes, São Paulo - SP, 05004-010, Brazil",55 11 3862-4427,Google Places API,3.5,3.5,0.0,Complete,,,,70
Bone Surgical Equipamentos Médicos Eireli,https://bonesurgical.com.br/,2.0,,Edirlei Novaes - Sócio-Administrador,0,10,,,False,False,,,,,,,,New Lead,Bone Surgical Equipamentos Médicos Eireli,"Av. Angélica, 2346 - 9° Andar - Consolação, São Paulo - SP, 01228-200, Brazil",55 11 5904-0215,Google Places API,3.5,3.5,0.0,Complete,,,,70
Santa Clara - Comércio de Produtos Odontológicos LTDA,http://www.dentalsantaclara.com.br/,4.0,atendimento@dentalsantaclara.com.br,,0,2,,,False,False,,,,,,,,New Lead,Santa Clara - Comércio de Produtos Odontológicos LTDA,"Ed Santa Clara - R. Augusto dos Anjos, 233 - Pio Corrêa, Criciúma - SC, 88811-560, Brazil",55 48 3447-0300,Google Places API,3.5,3.5,0.0,Complete,atendimento@dentalsantaclara.com.br,,,70
Factory Instrumental Cirúrgico,http://www.factorycirurgico.com.br/,4.0,sales@www.factorycirurgico.com.br,,0,30,,,False,False,,,,,,,,New Lead,Factory Instrumental Cirúrgico,"R. Ambrosia do México, 392 - Jardim Cidade Pirituba, São Paulo - SP, 02945-040, Brazil",55 11 3972-4847,Google Places API,3.5,3.5,0.0,Complete,info@freehtml5.co,,,70
Dental Prótese Comércio de Materiais Odontológicos,https://www.dentalprotese.com.br/,5.0,comercial@www.dentalprotese.com.br,,0,0,,,False,False,,,,,,,,New Lead,Dental Prótese Comércio de Materiais Odontológicos,"R. José Jaques, 96 - Centro, Florianópolis - SC, 88020-080, Brazil",55 800 223 0400,Google Places API,3.5,3.5,0.0,Complete,adam@gmail.com,,,70
Casa Médica,http://www.casamedica.com.br/,6.0,atendimento@casamedica.com.br,,0,40,,,False,False,,,,,,,,New Lead,Casa Médica,"R. Sen. Souza Naves, 1550 - Centro, Londrina - PR, 86010-160, Brazil",55 43 3378-8888,Google Places API,3.5,3.5,0.0,Complete,atendimento@casamedica.com.br,"[{""name"": ""Casa Médica"", ""title"": ""fundadora"", ""confidence"": ""medium""}]",,80
