Scraped_Emails,Phone,index,Decision_Maker
neope@hotmail.com.br,,421,Cirurgia Bucomaxilofacial - Especialista; Disfunção Temporomandibular - Especialista; Prótese Dentária - Especialista
,(81) 99932-2979; (81) 97309-1311,423,
cotacao@cattismedical.com.br,(61) 99244-0183; (61) 99244-5783,368,Produtos Médico - Médico
,(40) 2049-2500,415,
consultoriavendas@mileski.com.br,,385,
pulsartechnologies@pulsartechnologies.com.br,(61) 98156-0006; (61) 3322-0666,386,
,(71) 98182-3931,343,
comercial@analisesistemas.com,,380,
,(61) 3393-6660,373,
,(81) 3314-2000,426,
comercial@jehospitalar.com.br; contato@jehospitalar.com.br,(71) 99673-2345; (71) 3017-8300,282,
contato@dmidf.com.br,(61) 99235-7460; (61) 3048-7650,364,Material Médico - Médico; Eletrodo Médico - Médico; Material Médico Hospitalar - Médico
,(81) 3226-9130,438,
financeiro@dentalmac.com.br,(82) 3336-4900; (82) 9909-6271,356,
,(81) 3301-5780; (81) 3301-7833,419,
,(61) 3201-2000; (61) 3352-5257,401,
contato@qualydigital.com.br,(81) 98288-0800; (81) 3137-5102,435,
contato@studiosorrir.com.br,(81) 3074-0211; (81) 98218-8913,422,Invisalign Doctor - Especialista
vendas@therapin.com; suporte@therapin.com.br,,237,
ctt@orthoserv.com.br,(81) 2138-6900; (81) 2138-6901,413,
,(61) 3030-5757,392,Vital Implantes - Dentista
,(51) 99701-2214,251,
,(81) 3221-0662,452,
comercial@nuclearis.com.br,(81) 99541-7337,313,
,(81) 9191-1836,377,Teach Lead - Lead
contato@csproteselab.com.br,(19) 99347-0533; (19) 9347-0533,462,
,(19) 3765-9900,458,
gigavida@gigavida.com.br,(81) 3314-7914,383,
pedidos@saudental.com.br,(83) 3133-3000,375,Ultradent Líder Mundial - Líder
,(19) 2513-2077,466,
,,388,Diretor Superintendente - Diretor
,(48) 99630-1700,454,
,,374,Diretor Administrativo - Diretor; Unimed Sorocaba - Diretor; Neoh Jornada Cirúrgica - médico
atendimento@casadaprotese.com.br,(19) 98300-1847; (19) 3242-4770,464,
sac@bhs1.com.br,(20) 5943-9743; (81) 3033-2391,450,
,(19) 99777-5497,488,
,(81) 9219-8061,420,Prótese Dentária - Especialista
,(48) 3024-5858,456,Guillaume Barrault - CEO; Sysmarine Ltda - CEO; Alexandre Ferreira - CEO
contato@horizontelocacao.com.br,(19) 98224-5838; (19) 98315-5062,480,
,(19) 3241-4443; (19) 99850-7004,471,Harmonização Orofacial - especialista; Fabiano Arrivabene - especialista; Josi Marques - especialista
atendimento1@avatti.com.br,(19) 99916-3612,478,
,(71) 3012-0608,341,
tecnoclin@tecnoclin.com.br,(19) 3778-1400,505,Equipamentos Médico Hospitalares - Médico; Equipamentos Médico Hospitalar - Médico
contato@sauvet.com.br,(19) 3846-3600,489,
irenio.neto@injefarma.com.br,(81) 3252-8000,443,Materiais Médico - Médico; Equipamentos Médico - Médico
atendimento@med.place,(51) 3321-1414,522,Médico Responsável Técnico - Médico
faleconosco@farmaciasindical.com.br,,441,
contato@recifetecnologia.com.br; curriculos@recifetecnologia.com.br,(81) 3040-1010; (11) 4210-2465,381,
vendas@ortopediaespecial.com.br,(81) 3132-1111,447,
,(19) 99675-0928; (23) 2507-3800,457,
frpe@frpe.com.br,(81) 99183-8523; (81) 99904-4973,303,
,(19) 3396-6475; (11) 5042-1155,494,
,(19) 3239-3377,491,
,(51) 99329-1468,511,Ambulatório Médico - Médico; Fisioterapia Corporativo - Médico
,(81) 99782-2155,429,
,(19) 3233-3007; (19) 3237-4611,465,
comercial@gamacamp.com.br,(19) 3743-7070; (19) 99161-0915,537,
vendas@brazimed.com.br,(19) 98432-3234; (19) 99107-3185,538,
comercial@norsupri.com,(81) 98264-4175,432,
dentflex@dentflex.com.br,,529,
,(19) 3277-0905; (19) 3305-3573,459,Vice Presidente - Presidente; Vice Diretor Financeiro - Diretor
atendimento@clinia.io; contato@clinia.io,,508,
,(19) 3383-9362; (19) 98401-2003,455,Marcos Hayashi - doutor; Por Que Fazer Implante - Especialista; Marcos Hayashi - Especialista
,,378,Diretor Comercial - Diretor; Diretor Financeiro - Diretor; Business Partner - Partner
,(81) 99615-7094; (81) 3227-2000,411,Art Cirúrgica - médico
,(34) 3221-5300,550,
topimplantes@gmail.com,(83) 3063-1010,412,
,(19) 99713-3637,479,
kernit@kernit.com.br,(19) 99697-1837; (19) 3894-7372,515,
comercial@metalclin.com.br,(47) 9688-7365,558,
contato@campmedical.com.br,(19) 3381-8199; (19) 98454-8199,526,Imobilizador Lateral - Head; Head Block - Head
contato@inovatechrs.org,(51) 9302-5357,512,Terapeuta Ocupacional Especialista - Especialista; Fisioterapeuta Especialista - Especialista; Psicólogo Especialista - Especialista
,(19) 4141-4939; (19) 3243-6725,481,
,(19) 98255-5790; (19) 3231-4737,473,
,(48) 3257-1455,565,
,(48) 98446-8244; (50) 6849-7000,553,
,(48) 3244-9425; (48) 98411-2092,569,
,,584,Leandro José João - Diretor; Diretor Executivo - Diretor
comercial@marcahospitalar.com.br,,560,
wbprotesedentaria@gmail.com,(48) 3050-2562; (48) 98427-1179,561,
dpo.hsl.g@pucrs.br; dpo@pucrs.br,,509,Porto Alegre - líder
,(19) 3258-8087; (19) 97404-1082,532,Maurício Duarte - Sócio; Loja Halitus - Dentista; Clínica Halitus - Sócio
,,593,Loja Dr - Dr.
,(48) 99663-5511,588,
,(19) 3291-2283,536,Compliance Cirúrgica - Médico; Equipamentos Científicos - Médico; Cuidados Médicos - Médico
,(48) 99858-0065; (48) 99613-6141,571,
,(47) 3323-9186,559,
contato@mixmedsc.com.br,(48) 99126-2523,567,
interletro@interletro.com.br,(19) 99778-5597; (19) 3231-4014,540,Equipamentos MÃ - Especialista
,,581,Presidente Kennedy - Presidente; Diretor Executivo - Diretor; Novos Negócios - Diretor
contato@bhiosupply.com.br,(51) 3458-4479; (51) 3459-4000,568,
contato@visio.com.br,,613,
acaisaudenordeste@gmail.com,,439,
,(48) 3024-4492,633,
contato@yelocirurgica.com.br,,598,
comercial@loglifelogistica.com.br,(31) 3654-4851; (31) 3654-4852,549,Motofretista Especialista - Especialista; Material Biológico - Especialista
,(19) 3755-6500,607,Diretor Presidente - Diretor; Jovem Pan News Campinas - Presidente; Elias Tavares - Presidente
,(48) 3223-2564; (48) 98419-5838,628,Balneário Camboriú - Especialista; Universitário Avantis - Especialista
,(19) 3271-0011; (19) 97405-8182,534,
,,474,Cirurgião Dentista - Cirurgião; Diretor Clínico - Diretor; Cirurgiã Dentista - Dentista
,(48) 99670-1182,332,Rafael Gallassini - Médico; Valor Econômico - Médico
comercial@pelegrinionline.com.br,,594,
,(19) 2660-4828,610,
sin@sinimplantsystem.com; bia@keypress.com.br,(11) 99242-4071,531,Ed Whitacre - presidente; Ed Whitacre - CEO
,(48) 8805-4761,577,Thiago Leite - médico
,(61) 3522-7811; (61) 99305-9389,643,Ianara Mesquita - Dentista; Dentista Perto - Dentista; Dúvidas Frequentes Sobre Dentista - Dentista
,(61) 3326-9257,641,
,(19) 98281-0807,548,
,,504,Suporte Técnico - Sócio; Sócio Fundador - Sócio; Security Awareness Officer - Sócio
contato@otprotese.com.br,(81) 3117-9000,449,
contato@arquimedhospitalar.com.br,(48) 3304-4993; (48) 98818-3176,619,Rua Doutor Heitor Blum - Doutor
contato@drugstorepopular.com.br,(19) 3722-7866; (19) 3271-4898,487,
,,654,Personal Stylist - Especialista; Prótese Capilar - Especialista
viafarma@viafarma.com,(47) 3028-8828; (47) 3028-8028,646,
vendascuiaba@cqc.com.br; vendascpg@cqc.com.br; vendas@cqc.com.br,(65) 3642-4387; (65) 3021-2907,608,
vendas@oxisaude.com.br,(48) 3065-0111,589,
comercial@librahospitalar.com.br,,634,Especialista TÃ - Especialista
,(48) 99858-0065; (48) 99613-6141,636,
,(48) 98409-9360; (48) 3322-1626,623,Implante Dentário - Dentista; Dentista Especialista - Dentista
,(47) 3804-9699,653,
,(47) 3407-1377,679,
contato@pulseclinic.com.br,(47) 98815-0773; (47) 3013-7138,681,
,,655,Clareamento Dental - Líder; Dental Group - Líder
,,600,Diretor Health Care - Diretor
atendimento@medicamentum.com.br,(47) 99932-2129; (47) 3433-8669,668,
,(48) 99147-7333; (48) 3223-7333,597,
vendas@vitoriasoftwarecom.br,(27) 3039-5007; (27) 3026-9548,696,
contato@hubsul.com.br,(47) 3025-4050,683,
proimplante@gmail.com,,350,Prótese Dentária - Especialista
,(47) 3041-0999; (47) 3432-0931,688,
,(47) 99681-0032; (47) 3145-8300,716,
info@website.com; contato@implantop.com.br,(19) 3254-9390,477,
,(72) 4700-0104,712,
comercial@cirurgicaluzitana.com.br,(19) 3233-7418; (19) 3233-7724,541,
,,720,Rua Presidente Campos Salles - Presidente; Médico Odont - Médico; Welfare Imp - Médico
csi@csiway.com.br,(27) 3204-5111; (27) 99962-7372,699,Nacional Peças - Diretor
sac@santaapolonia.com.br,,618,Encosto Doutor Coluna Cf - Doutor
,(47) 3804-7075; (47) 98857-5907,689,Cirurgião Dentista - Cirurgião
medpej@medpej.com.br,(16) 3238-0300,735,
fabrica@villevie.com.br,(47) 3454-2200,723,
,(47) 99765-9498,732,
contato@clinicaallcare.com.br,(47) 3025-1353; (47) 3433-0876,680,
,(47) 99260-9623,725,
vendas1@cinord.com.br,(16) 99155-6015; (16) 3987-3786,742,
sac@santaapolonia.com.br,,640,Encosto Doutor Coluna Cf - Doutor
contato@insidetecnologia.com,(27) 2104-0831; (27) 3093-8969,705,Inside Tecnologia - especialista; Realidade Virtual - especialista
marketing@belfarma.com.br,(16) 3601-0550; (16) 3235-0551,745,
,(16) 3965-1416,738,
vendas@elroimedical.com.br,(48) 99676-0025; (48) 3047-4007,632,
comercial@poscirurgica.com,(27) 99815-2676,737,
vanderson@vcom.ind.br,,730,
vendas@oxisaude.com.br,(48) 3065-0111,727,
,,750,Presidente Alves - Presidente; Presidente Epitacio - Presidente; Presidente Prudente - Presidente
atendimento@cortical.com.br,(16) 2102-4811,749,
,(16) 3456-1400,736,
assistenciahtr@gmail.com,(11) 98342-1132,601,
,(16) 99952-1000; (16) 3759-0742,767,Laboratório Labtec - médico; Rua Doutor José Balbino - Doutor
sin@sinimplantsystem.com; bia@keypress.com.br,(11) 99242-4071,721,Ed Whitacre - presidente; Ed Whitacre - CEO
,(16) 99614-8886,748,
pedidos@grupodalazen.com.br,(48) 99181-7088; (48) 3039-8201,631,
,(47) 3041-0999; (47) 3432-0931,664,
sac@viabem.com.br,(10) 3603-1900; (16) 3877-7311,739,
atendimento@etox.com.br,(16) 3325-1356; (16) 99451-6155,764,
ribermedica.vendas@gmail.com,(16) 3234-9943; (16) 98162-5525,690,Equipamento Médico - Médico
vendas@grantechospitalar.com.br,(47) 99730-8551; (47) 99613-8134,734,
,(48) 99141-5196,620,
vendas@vitalville.com.br; comercial@vitalville.com.br,(47) 99159-7333,733,
dipha@dipha.com.br,(16) 3771-5458,753,
contato@realtecnologia.com.br,(27) 3315-3600,698,
contato@casadomedicodistribuidora.com.br; sac@casadomedicodistribuidora.com.br,,740,Médico Distribuidora - Médico
,(11) 2179-9222,759,
,(48) 99131-2204; (48) 3269-6147,627,
sac@supriclinic.com.br,(16) 99252-3521,790,
,(16) 99173-8080; (16) 3102-6402,777,
comercial@gtks.com.br,,784,
dentalribeirania@gmail.com,,808,
,(16) 3625-1772; (16) 99182-0853,807,
,(16) 3772-0273; (16) 99247-0522,817,
,,822,Diretor ClÃ - Diretor
contato@ortopedicoshop.com.br,(16) 98119-5170; (16) 3635-8010,814,
,(16) 99337-8549; (15) 6810-0011,804,
,(16) 3329-2933; (16) 99612-7598,794,
site@alemana.com.br,(16) 3636-1231; (16) 99119-6408,812,
,(27) 99903-5753,829,
,(35) 5010-7900; (62) 3877-1635,837,
comercial@centralmedicago.com.br,(62) 3541-4158,838,
,(62) 3241-5555,834,Robo Cirurgião Toumai - Cirurgião
,(32) 99945-4777; (34) 9195-2613,823,Gabriel Francischini Caetano - Dr.
contato@ecel.ind.br,,827,
loja@microdent.com.br,(16) 99411-1617; (16) 3610-7666,828,Kit Médico - Médico; Cirúrgico Completo - Médico
buteri@buteri.com.br,(27) 3134-9200,830,
,(61) 99508-8700,845,
mkt@triomed.com.br,(16) 99797-4453,782,Diapasão Médico - Médico; Cabeça Head Block Adulto Resgate - Head; Fixador Azul - Médico
vendas4@singular.com.br,(62) 3636-1391,840,Na Singular - médico
sac@axonbr.com,,847,
contato@faturemaiscia.com.br,,850,
atendimento@brasmedical.com.br,(16) 3965-2468; (16) 98251-0001,799,
,(16) 99175-4648,824,
,(62) 3602-4400,856,
,(67) 3321-1117; (48) 3333-0505,836,Medi Saúde - médico
,,821,Ribeirão Preto - dentista
contato@uniarte.com.br,(62) 9884-6659,859,Dentista EstÃ - Dentista
,(62) 3999-0004,861,
,(61) 3030-5757,831,Vital Implantes - Dentista
healthcarebrasilia@gmail.com,,849,Amil One - líder; Assistência Viagem Internacional - líder
,(61) 3329-4500,851,
riberdente@riberdente.com.br,(16) 99187-1808,819,
contato@marcomed.com.br,(16) 99635-5045; (16) 3610-9595,802,
,,878,Dr Ady Reis Especialista - Especialista
,(11) 2109-8500,843,
riberdente@riberdente.com.br,(16) 99187-1808,818,
,(61) 2194-8280; (11) 5548-0506,881,
,(61) 3218-7000,886,
contato@cadistribuidora.com,(62) 3983-2239; (62) 3983-2238,874,
,(27) 99265-1597,694,
,,866,Dentista Perto - Dentista; Prótese Dentária - Especialista; Buriti Shopping - Dentista
contato@hospiconnect.com.br,(61) 98196-4138,879,
,(61) 99951-1951,893,
,(61) 99512-6057,903,
site@dentaladelar.com.br,(62) 3501-2400,873,
,(16) 99216-6444; (16) 3610-7424,810,Nosso Fundador - Fundador
,(61) 3028-4472; (61) 99218-3887,888,
,(16) 3623-3339,747,
implantisgo@gmail.com,(62) 9844-5151,865,
farmahofonline@gmail.com,(47) 99657-8812; (10) 2610-0027,647,
dentalcapixaba@dentalcapixaba.com.br,(27) 3205-2000; (27) 99902-5593,935,
cetel@ceteleletronica.com.br,(27) 3222-1967,926,
odontosin0@gmail.com,(62) 3223-8234; (62) 99923-6158,867,
,(61) 3443-8880,920,
,(61) 3404-5959,916,
,(61) 98491-7201,904,
dentistry@dentaldentistry.com.br,,932,
matheusalvarengaeng@gmail.com,,923,
emilcardio@emilcardio.com.br,(27) 99279-7913; (27) 3222-8494,940,
,(27) 99921-8984,950,
,(16) 3289-0281,771,Diretor MÃ - Diretor; Relacionamento Corporativo - Diretor
,(11) 3879-7822,846,
encarregado@senior.com.br,,672,Senior Sistemas - líder
adm@belbidistribuidora.com.br,(61) 3052-2520,917,
contato@divoshospitalares.com.br,(47) 3278-2923; (47) 98474-2563,728,
admin@vixhospitalar.com.br,(78) 98360-9136; (27) 3100-4800,945,
contato@nrdist.com.br,(61) 3363-9280; (61) 9240-0521,918,
,(61) 3205-4220,911,
,(61) 3546-6904; (85) 99204-6611,902,
,(16) 99700-4265; (16) 99159-3786,768,
cicatrizecirurgica@gmail.com,(27) 99975-1931,939,
,(62) 3233-1901; (61) 3563-5401,921,
,(62) 99648-3833; (62) 3924-5132,857,
,(47) 99229-6696,662,Parabéns Doutora - dentista
comercial@bsblogistica.com.br,(61) 99925-1200; (61) 3550-6689,913,
,(62) 98132-5813,973,
contato@cotadental.com.br,(27) 3022-8146; (27) 99828-4753,930,
contatos@theralog.com.br,,959,
,,987,Líder Ortopedia - Líder
,(27) 99702-5481; (27) 3024-3065,710,
,(27) 3239-1685; (27) 99894-2954,949,
,,907,Próteses Dentárias - Especialista; Detalhes Próteses - Especialista
contato@reabbrasil.com.br,(61) 3345-8068,897,
contato@alfamare.com.br; comercial@alfamare.com.br,(62) 4141-6997; (62) 99928-5240,981,
contatobiocompany@gmail.com,(62) 99195-6835,1005,
farmacia.delivery@oncovit.com.br; contato@alianzapharma.com.br,(27) 99509-8742,955,
,(27) 3212-4444,954,Marcelo Frisso - Diretor; Diretor Financeiro - Diretor; Gestão Humana - Diretor
compras@ortopediabrasil.com.br,(62) 99137-2861; (62) 3212-2002,992,
,,1000,Na Onisaúde - médico; Sou Médico - Médico
,(27) 3225-0288,927,Grande Rio - dentista; Associação Odontológica - Especialista; Universidade Federal - Especialista
,(27) 99263-0323; (27) 3227-9000,956,
,(16) 3931-2858,977,
,(61) 3020-0888; (62) 99209-1814,993,
,,997,Avenida Doutor José Neto Carneiro - Doutor
,(62) 3609-7048,946,
,(62) 3212-5688; (62) 99690-6466,986,Ampla Variedade - Médico; Hospitalar Ltda - Médico; Produtos Médico - Médico
,(48) 3036-1856,596,
,(62) 99988-3721,1002,
contato@mmclog.com.br,,1020,
contato@ortolifego.com.br; ortolifego@gmail.com,(62) 3095-5232,988,
sac@dynlab.com.br,,1013,
contato@medfutura.com.br,(21) 3311-5172; (21) 97290-5756,1032,
,(62) 3212-5688; (62) 99690-6466,985,Ampla Variedade - Médico; Hospitalar Ltda - Médico; Produtos Médico - Médico
relacionamento@hospitalar-ats.com.br,,1017,
sessaut@sessaut.com.br; vendas@sessaut.com.br,(16) 3632-5828; (16) 99799-5828,775,Saúde Ocupacional - Médico; Controle Médico - Médico
,(61) 3443-3950,898,Dentista Asa Sul - Dentista
imperial@imperialhospitalar.com.br; sac@imperialhospitalar.com.br,(62) 3932-0500; (10) 2163-5011,979,
contato@ortolinea.com.br,(62) 3259-8359; (62) 98170-5588,989,Produtos Ortopédicos - Especialista
contato@paterlini.com.br,(21) 2462-3188,1047,Laboratório Paterlini - cirurgião
,(21) 99831-5465,1041,
contato@maxxidental.com.br,(27) 3325-3038,934,
,(21) 2625-6263,1048,
,(21) 97905-6861,1052,
sac@biotecbif.com.br; contato@biotecbif.com.br,(62) 3878-6800,1012,
,(21) 3878-1617; (21) 2288-8683,1026,
comercial@maximaes.com.br,(27) 2141-2151; (27) 99878-1101,962,Doutor Pedrinho - Doutor; Presidente Médici - Presidente; Presidente Tancredo Neves - Presidente
contato@mwdentalstudio.com.br,,1049,
dentalphs@hotmail.com,(21) 98122-6538,1068,
odontomar@odontomar.com.br,(21) 99752-0022,1070,
,(62) 3089-8900,1010,
comercial@coutinholog.com.br,(51) 99371-2784,1019,
,(51) 3175-0001; (21) 98912-1343,1071,
contato@bravomanutencaoodontologica.com,(21) 92006-9533,1069,
comercial@casadoesteticista.com.br,(21) 99901-9959,1023,
,(21) 3567-6726; (21) 2253-4190,1021,Materiais Médico - Médico
,(21) 2148-1858; (31) 3071-0379,1084,
gerente@bliamed.com.br,(21) 3273-9448; (21) 98869-4774,1088,Produtos Médico - Médico
